time,base_X,base_Y,base_Z,base_Ox,base_Oy,base_Oz,r_humerus_X,r_humerus_Y,r_humerus_Z,r_humerus_Ox,r_humerus_Oy,r_humerus_Oz,r_ulna_radius_hand_X,r_ulna_radius_hand_Y,r_ulna_radius_hand_Z,r_ulna_radius_hand_Ox,r_ulna_radius_hand_Oy,r_ulna_radius_hand_Oz,load_2kg_X,load_2kg_Y,load_2kg_Z,load_2kg_Ox,load_2kg_Oy,load_2kg_Oz,center_of_mass_X,center_of_mass_Y,center_of_mass_Z,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_DELT_ant,act_DELT_post,act_PECT,act_LAT,act_BRD_hand,act_shoulder_assist,act_elbow_assist,force_TRIlong,force_TRIlat,force_TRImed,force_BIClong,force_BICshort,force_BRA,force_DELT_ant,force_DELT_post,force_PECT,force_LAT,force_BRD_hand,force_shoulder_assist,force_elbow_assist,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
-0.0,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.011445,0.321121,0.1577,-0.0,-0.0,-0.0,0.016555,0.1976,0.2397,-17.18873385,12.60507149,90.0,-0.0031792,0.37599575,0.19232459,0.01089752,0.01142492,0.01144689,0.01263658,0.01217105,0.01317144,0.01264039,0.01153778,0.01225893,0.01175467,0.01190191,0.01402738,0.01723972,8.51058438,5.19517091,4.82726609,6.45970126,5.12261174,12.77595706,11.02694055,8.53924801,4.77637315,0.85093009,1.62340083,0.70136896,0.5171917,0.012470245,0.011256443333333333,0.0121457,6.4954177225,6.177673793333334,8.114187236666668,0.82888648,0.46868154,0.0,-0.0
0.01,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.0114432,0.321121,0.15769991,2.816e-05,2.086e-05,0.00056889,0.01655806,0.19760024,0.23969984,-17.18882861,12.6049233,90.00056322,-0.00317756,0.37599584,0.1923245,0.01085242,0.01141681,0.01144079,0.01284457,0.01226772,0.01348599,0.0128673,0.01153338,0.01238572,0.01178134,0.01195059,0.01621405,0.01902609,8.47660406,5.19238329,4.82552823,6.5657647,5.16311909,13.07990751,11.2248941,8.53599113,4.82577444,0.85286067,1.62993911,0.8107027,0.57078259,0.012637217499999999,0.011236673333333334,0.012262133333333333,6.6096826025,6.164838526666666,8.195553223333333,0.94818547,0.52914226,0.0,0.00056997
0.02,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01143723,0.321121,0.15769962,0.00012143,8.997e-05,0.00245357,0.01656819,0.19760103,0.23969931,-17.18914251,12.60443236,90.00242912,-0.00317211,0.37599613,0.19232422,0.01081246,0.0114084,0.01143425,0.01306568,0.01236504,0.01382646,0.01311179,0.01152827,0.01251629,0.01180636,0.01199773,0.01837486,0.02079223,8.4490844,5.19125043,4.82526305,6.67800391,5.2035343,13.40658639,11.43817612,8.53220517,4.8766496,0.85467204,1.63606807,0.9187429,0.62376685,0.0128137275,0.01121837,0.01238545,6.7310481675,6.155199293333333,8.28234363,1.06648981,0.58919939,0.0,0.00245822
0.03,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01142297,0.321121,0.15769891,0.0003443,0.00025512,0.00695669,0.0165924,0.19760291,0.23969804,-17.18989245,12.60325929,90.00688733,-0.00315909,0.37599683,0.19232355,0.01077718,0.01139986,0.01142743,0.01329872,0.01246235,0.0141913,0.01337273,0.01152273,0.0126496,0.01182976,0.01204314,0.02049225,0.02252704,8.42760758,5.19184552,4.82654223,6.79580661,5.24357677,13.75436799,11.66580298,8.52810804,4.92858937,0.85636604,1.64177273,1.02461237,0.67581108,0.0129988775,0.011201490000000001,0.012515020000000002,6.8588810250000005,6.1486651100000005,8.374166796666668,1.18288416,0.64848863,0.0,0.00696988
0.04,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01139636,0.32112101,0.15769759,0.00075993,0.00056318,0.01535555,0.01663755,0.19760643,0.23969568,-17.19129093,12.60107121,90.01520233,-0.0031348,0.37599813,0.1923223,0.01074612,0.01139132,0.01142046,0.0135424,0.01255907,0.01457847,0.01364862,0.01151703,0.0127846,0.01185161,0.0120867,0.0225517,0.02422194,8.4117223,5.19420381,4.82940418,6.91850495,5.28301616,14.12114501,11.90648312,8.52388886,4.98118898,0.85794736,1.64705073,1.12758484,0.72665805,0.01319166,0.011185966666666667,0.012650083333333333,6.9924292125,6.1451100966666665,8.47052032,1.29659796,0.70671719,0.0,0.01538466
0.05,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01135349,0.32112102,0.15769547,0.00142968,0.00105979,0.02889148,0.01671031,0.19761211,0.23969187,-17.19354407,12.59754442,90.02860286,-0.00309566,0.37600024,0.19232029,0.01071881,0.01138285,0.01141343,0.01379545,0.01265483,0.01498568,0.0139378,0.01151138,0.01292035,0.01187199,0.01212835,0.02454243,0.02587143,8.40095799,5.1983254,4.83385619,7.04546229,5.32169159,14.50458808,12.15875453,8.51970337,5.03408001,0.85942322,1.65191268,1.22712149,0.77614277,0.013391077500000001,0.011171696666666668,0.012789843333333334,7.13091366,6.14437986,8.570845969999999,1.40704761,0.76368436,0.0,0.02894625
0.06,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01129055,0.32112107,0.15769235,0.00241261,0.00178907,0.0487613,0.01681712,0.19762049,0.23968628,-17.19684993,12.59236638,90.04827333,-0.00303821,0.37600336,0.19231733,0.01069478,0.01137449,0.0114064,0.01405685,0.01274939,0.01541069,0.01423857,0.01150593,0.01305606,0.01189105,0.01216815,0.02645764,0.02747319,8.39484136,5.20418047,4.83987889,7.17615266,5.35952114,14.90241454,12.42113,8.51567289,5.08695413,0.86080269,1.65638093,1.32288208,0.82419568,0.01359627,0.011158556666666666,0.012933519999999999,7.2736173175,6.1463002399999995,8.674585673333333,1.51385293,0.81928922,0.0,0.04885376
0.07,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01120393,0.32112116,0.15768806,0.00376517,0.00279345,0.07611116,0.01696413,0.19763208,0.23967857,-17.2013972,12.58523725,90.07534767,-0.00295913,0.37600768,0.19231326,0.0106736,0.01136627,0.01139937,0.0143259,0.01284273,0.0158515,0.01454933,0.01150081,0.01319112,0.01190892,0.01220619,0.02829428,0.02902785,8.39291195,5.21171618,4.84743211,7.31022255,5.3965022,15.31261909,12.69222694,8.51188647,5.13957653,0.86209605,1.66048748,1.41471419,0.87083536,0.01380658,0.011146413333333334,0.01308042,7.4199578299999995,6.1506867466666675,8.781229979999999,1.6168305,0.87352675,0.0,0.07625551
0.08,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01109015,0.32112135,0.15768242,0.00554089,0.00411359,0.11203253,0.01715721,0.1976474,0.23966846,-17.20736417,12.57587063,90.11090519,-0.00285527,0.37601341,0.19230791,0.01065486,0.01135814,0.01139234,0.01460231,0.012935,0.01630657,0.01486874,0.01149611,0.01332512,0.01192574,0.01224263,0.03005253,0.03053846,8.39473473,5.22086389,4.85646115,7.44752938,5.43270458,15.73363192,12.97086411,8.50840508,5.19178909,0.86331411,1.6642713,1.50262648,0.91615377,0.0140216275,0.011135113333333333,0.013229990000000002,7.5695342949999995,6.157353256666667,8.89035276,1.71596955,0.92647539,0.0,0.11224507
0.09,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,-0.01094594,0.32112169,0.15767527,0.0077903,0.00578837,0.15756028,0.01740191,0.19766701,0.23965563,-17.21491801,12.56399392,90.15596854,-0.00272364,0.37602077,0.19230112,0.01063819,0.01135009,0.01138528,0.01488623,0.01302649,0.01677487,0.01519573,0.01149187,0.01345786,0.01194168,0.01227767,0.03173506,0.03200993,8.39990874,5.2315458,4.86690262,7.58815621,5.46825884,16.16438972,13.2561162,8.50526696,5.24350476,0.86446758,1.66777551,1.58675298,0.96029783,0.014241315,0.011124519999999999,0.01338182,7.72214507,6.166119053333333,9.001629306666667,1.81139714,0.97827925,0.0,0.1578593
