time,r_humerus_X,r_humerus_Y,r_humerus_Z,r_ulna_radius_hand_X,r_ulna_radius_hand_Y,r_ulna_radius_hand_Z,load_2kg_X,load_2kg_Y,load_2kg_Z,center_of_mass_X,center_of_mass_Y,center_of_mass_Z,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
-0.0,-0.017545,0.612504,0.17,-0.011445,0.321121,0.1577,0.016555,0.1976,0.2397,-0.0031792,0.37599575,0.19232459,0.012470245,0.011256443333333333,0.0121457,6.4954177225,6.177673793333334,8.114187236666668,0.82888648,0.46868154,0.0,-0.0
0.01,-0.017545,0.612504,0.17,-0.0114432,0.321121,0.15769991,0.01655806,0.19760024,0.23969984,-0.00317756,0.37599584,0.1923245,0.012637217499999999,0.011236673333333334,0.012262133333333333,6.6096826025,6.164838526666666,8.195553223333333,0.94818547,0.52914226,0.0,0.00056997
0.02,-0.017545,0.612504,0.17,-0.01143723,0.321121,0.15769962,0.01656819,0.19760103,0.23969931,-0.00317211,0.37599613,0.19232422,0.0128137275,0.01121837,0.01238545,6.7310481675,6.155199293333333,8.28234363,1.06648981,0.58919939,0.0,0.00245822
0.03,-0.017545,0.612504,0.17,-0.01142297,0.321121,0.15769891,0.0165924,0.19760291,0.23969804,-0.00315909,0.37599683,0.19232355,0.0129988775,0.011201490000000001,0.012515020000000002,6.8588810250000005,6.1486651100000005,8.374166796666668,1.18288416,0.64848863,0.0,0.00696988
0.04,-0.017545,0.612504,0.17,-0.01139636,0.32112101,0.15769759,0.01663755,0.19760643,0.23969568,-0.0031348,0.37599813,0.1923223,0.01319166,0.011185966666666667,0.012650083333333333,6.9924292125,6.1451100966666665,8.47052032,1.29659796,0.70671719,0.0,0.01538466
0.05,-0.017545,0.612504,0.17,-0.01135349,0.32112102,0.15769547,0.01671031,0.19761211,0.23969187,-0.00309566,0.37600024,0.19232029,0.013391077500000001,0.011171696666666668,0.012789843333333334,7.13091366,6.14437986,8.570845969999999,1.40704761,0.76368436,0.0,0.02894625
0.06,-0.017545,0.612504,0.17,-0.01129055,0.32112107,0.15769235,0.01681712,0.19762049,0.23968628,-0.00303821,0.37600336,0.19231733,0.01359627,0.011158556666666666,0.012933519999999999,7.2736173175,6.1463002399999995,8.674585673333333,1.51385293,0.81928922,0.0,0.04885376
0.07,-0.017545,0.612504,0.17,-0.01120393,0.32112116,0.15768806,0.01696413,0.19763208,0.23967857,-0.00295913,0.37600768,0.19231326,0.01380658,0.011146413333333334,0.01308042,7.4199578299999995,6.1506867466666675,8.781229979999999,1.6168305,0.87352675,0.0,0.07625551
0.08,-0.017545,0.612504,0.17,-0.01109015,0.32112135,0.15768242,0.01715721,0.1976474,0.23966846,-0.00285527,0.37601341,0.19230791,0.0140216275,0.011135113333333333,0.013229990000000002,7.5695342949999995,6.157353256666667,8.89035276,1.71596955,0.92647539,0.0,0.11224507
0.09,-0.017545,0.612504,0.17,-0.01094594,0.32112169,0.15767527,0.01740191,0.19766701,0.23965563,-0.00272364,0.37602077,0.19230112,0.014241315,0.011124519999999999,0.01338182,7.72214507,6.166119053333333,9.001629306666667,1.81139714,0.97827925,0.0,0.1578593
0.1,-0.017545,0.612504,0.17,-0.01076821,0.32112227,0.15766646,0.01770348,0.19769143,0.2396398,-0.00256142,0.37602998,0.19229276,0.014465802500000001,0.011114496666666666,0.013535636666666668,7.877779380000001,6.176813989999999,9.114838313333335,1.90333913,1.02912839,0.0,0.21407799
0.11,-0.017545,0.612504,0.17,-0.01055404,0.32112319,0.15765582,0.01806685,0.19772126,0.23962073,-0.00236594,0.3760413,0.19228267,0.014695489999999999,0.011104926666666667,0.013691309999999998,8.03658913,6.189281623333334,9.22985074,1.992082,1.07923961,0.0,0.28182467
0.12,-0.017545,0.612504,0.17,-0.01030068,0.32112462,0.15764323,0.01849666,0.1977571,0.23959814,-0.00213471,0.37605498,0.19227072,0.0149309475,0.011095686666666667,0.01384879,8.1988493775,6.203380656666667,9.346610113333332,2.07793944,1.12883967,0.0,0.36196834
0.13,-0.017545,0.612504,0.17,-0.01000555,0.32112672,0.15762855,0.01899728,0.19779961,0.2395718,-0.00186539,0.37607132,0.19225679,0.0151728725,0.011086689999999998,0.014008096666666666,8.364915575,6.218985003333334,9.465109123333333,2.16122567,1.17815203,0.0,0.45532539
0.14,-0.017545,0.612504,0.17,-0.00966624,0.32112974,0.15761164,0.01957277,0.1978495,0.23954149,-0.00155577,0.37609066,0.19224076,0.016603195,0.011501366666666665,0.015242566666666665,9.1361005675,6.450137046666666,10.282390336666667,2.24223652,1.22738749,0.0,0.56266184
0.15,-0.017545,0.612504,0.17,-0.00928047,0.32113394,0.15759239,0.02022694,0.19790752,0.23950699,-0.0012038,0.37611335,0.19222251,0.016858275,0.011491556666666666,0.015412026666666667,9.2991160025,6.46831078,10.40447674,2.32123784,1.27673855,0.0,0.68469532
0.16,-0.017545,0.612504,0.17,-0.00884613,0.32113966,0.15757069,0.02096335,0.19797453,0.23946808,-0.00080757,0.37613979,0.19220192,0.01719413,0.011521579999999998,0.015650723333333335,9.503251217499999,6.509063049999999,10.572361670000001,2.39846028,1.32637691,0.0,0.82209696
0.17,-0.017545,0.612504,0.17,-0.00836126,0.32114727,0.15754641,0.02178528,0.19805141,0.23942458,-0.00036529,0.37617044,0.19217891,0.01746311,0.011512333333333333,0.015821783333333336,9.6725452425,6.530066176666666,10.695529689999999,2.47409898,1.37645355,0.0,0.97549288
0.18,-0.017545,0.612504,0.17,-0.00782402,0.32115722,0.15751946,0.02269578,0.19813918,0.2393763,0.00012468,0.37620578,0.19215336,0.01591524,0.010229593333333334,0.014210313333333334,9.103151207500002,5.887557269999999,9.719358523333334,2.5483166,1.42710036,0.0,1.14546544
0.19,-0.017545,0.612504,0.17,-0.00723271,0.32117001,0.15748972,0.02369765,0.19823891,0.23932306,0.00066386,0.37624636,0.19212519,0.0162245125,0.010225263333333333,0.014400640000000001,9.302467145,5.911025086666666,9.859108556666667,2.62124836,1.47843279,0.0,1.33255422
0.2,-0.017545,0.612504,0.17,-0.0065858,0.32118623,0.15745711,0.02479347,0.19835178,0.23926468,0.00125365,0.37629279,0.1920943,0.0165425675,0.010220823333333334,0.014590143333333333,9.505621060000001,5.935338663333333,9.998008973333333,2.69300773,1.53055281,0.0,1.53725678
0.21,-0.017545,0.612504,0.17,-0.00588185,0.3212065,0.15742152,0.02598554,0.19847907,0.23920101,0.00189531,0.3763457,0.1920606,0.0168929725,0.010219603333333334,0.014799666666666668,9.721725485,5.962011273333334,10.14753226,2.76369198,1.5835518,0.0,1.76002931
0.22,-0.017545,0.612504,0.17,-0.00511959,0.32123155,0.15738288,0.02727595,0.19862215,0.2391319,0.00258996,0.37640582,0.19202401,0.017231005,0.010215033333333333,0.014987780000000001,9.933416605,5.987950259999999,10.28469356,2.83338693,1.63751289,0.0,2.00128712
0.23,-0.017545,0.612504,0.17,-0.00429787,0.32126215,0.15734109,0.02866653,0.1987825,0.23905719,0.00333862,0.37647392,0.19198446,0.017579855,0.010210463333333334,0.015174970000000001,10.149858097500001,6.014665286666666,10.420897796666667,2.90217052,1.69251284,0.0,2.26140519
