time,r_humerus_u_noisy,r_humerus_v_noisy,r_humerus_depth,r_ulna_radius_hand_u_noisy,r_ulna_radius_hand_v_noisy,r_ulna_radius_hand_depth,load_2kg_u_noisy,load_2kg_v_noisy,load_2kg_depth,center_of_mass_u_noisy,center_of_mass_v_noisy,center_of_mass_depth,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
-0.0,516.7623753359794,4683.45096113433,0.17,550.4290778391353,2802.4423847459143,0.1577,722.6277893653407,1348.3927749742738,0.2397,623.2621735541189,2707.2515979482664,0.19232459,0.012470245,0.0112564433333333,0.0121457,6.4954177225,6.177673793333334,8.114187236666668,0.82888648,0.46868154,0.0,-0.0
0.01,514.0729729639896,4685.285734310973,0.17,550.1487298022895,2803.116952061924,0.15769991,722.9828661862774,1350.6922227063887,0.23969984,620.7142400660331,2705.5192589280055,0.1923245,0.0126372174999999,0.0112366733333333,0.0122621333333333,6.6096826025,6.164838526666666,8.195553223333333,0.94818547,0.52914226,0.0,0.00056997
0.02,517.6538435680835,4684.771113413647,0.17,553.3341005007056,2804.121610947821,0.15769962,723.1309431746637,1347.7688945304762,0.23969931,619.2348093031541,2707.833932022707,0.19232422,0.0128137275,0.01121837,0.01238545,6.7310481675,6.155199293333333,8.28234363,1.06648981,0.58919939,0.0,0.00245822
0.03,518.034070609253,4677.586001990604,0.17,551.5620625471064,2803.74421606598,0.15769891,722.1750980022426,1344.3192404645758,0.23969804,616.6728514906176,2705.738548905632,0.19232355,0.0129988775,0.01120149,0.01251502,6.8588810250000005,6.1486651100000005,8.374166796666668,1.18288416,0.64848863,0.0,0.00696988
0.04,512.2508707991628,4684.648131467681,0.17,550.3743614950773,2804.7793262195087,0.15769759,720.8341229623139,1345.9150195462198,0.23969568,620.0459166102246,2706.7275965293948,0.1923223,0.01319166,0.0111859666666666,0.0126500833333333,6.9924292125,6.1451100966666665,8.47052032,1.29659796,0.70671719,0.0,0.01538466
0.05,513.5485821627459,4681.550688239816,0.17,555.5351253755339,2801.3532637226385,0.15769547,725.1912211353929,1349.2950907161082,0.23969187,619.5306990969535,2705.5395601870355,0.19232029,0.0133910775,0.0111716966666666,0.0127898433333333,7.13091366,6.14437986,8.570845969999999,1.40704761,0.76368436,0.0,0.02894625
0.06,516.4086219828051,4680.714189575927,0.17,552.8181019980823,2804.4460722523486,0.15769235,727.3827513416826,1348.222148611262,0.23968628,619.8145977780075,2702.4069420942224,0.19231733,0.01359627,0.0111585566666666,0.0129335199999999,7.2736173175,6.14630024,8.674585673333333,1.51385293,0.81928922,0.0,0.04885376
0.07,515.5204559917834,4683.1807002380765,0.17,557.0381519206846,2802.2351000651547,0.15768806,728.2528327566753,1347.012266367618,0.23967857,623.4207859797771,2705.9729261958137,0.19231326,0.01380658,0.0111464133333333,0.01308042,7.419957829999999,6.150686746666668,8.781229979999999,1.6168305,0.87352675,0.0,0.07625551
0.08,516.119338861462,4684.379589276884,0.17,555.6583129969904,2803.5217161615847,0.15768242,724.7981803901106,1353.5209581938968,0.23966846,622.3426066897392,2704.573690178945,0.19230791,0.0140216275,0.0111351133333333,0.01322999,7.569534294999999,6.157353256666667,8.89035276,1.71596955,0.92647539,0.0,0.11224507
0.09,514.4468533213234,4680.27617783825,0.17,557.2845834753854,2807.3378166384787,0.15767527,725.6682357105565,1351.4127252712856,0.23965563,619.639015077622,2709.234335203759,0.19230112,0.014241315,0.0111245199999999,0.01338182,7.72214507,6.166119053333333,9.001629306666667,1.81139714,0.97827925,0.0,0.1578593
0.1,517.9117371261963,4684.966799892939,0.17,557.6201150674913,2801.266278270234,0.15766646,727.5418846540285,1349.8260349660507,0.2396398,625.253161728981,2703.880932624675,0.19229276,0.0144658025,0.0111144966666666,0.0135356366666666,7.877779380000001,6.176813989999999,9.114838313333337,1.90333913,1.02912839,0.0,0.21407799
0.11,517.7085250473284,4685.084324753887,0.17,554.3574175581099,2803.675778377225,0.15765582,730.1255556089576,1350.6376535582262,0.23962073,622.0705398697756,2709.2531062221283,0.19228267,0.0146954899999999,0.0111049266666666,0.0136913099999999,8.03658913,6.189281623333334,9.22985074,1.992082,1.07923961,0.0,0.28182467
0.12,516.2850025715929,4683.651599451423,0.17,559.3163614540241,2801.891513176267,0.15764323,732.5334933783104,1349.913633778,0.23959814,628.0634877846487,2706.676763146481,0.19227072,0.0149309475,0.0110956866666666,0.01384879,8.1988493775,6.203380656666667,9.346610113333332,2.07793944,1.12883967,0.0,0.36196834
0.13,518.4074235904067,4681.82239979837,0.17,563.5779888877142,2804.990579217788,0.15762855,733.1603175581105,1348.2581107205515,0.2395718,627.4067340799858,2708.1187542615507,0.19225679,0.0151728725,0.0110866899999999,0.0140080966666666,8.364915575,6.218985003333334,9.465109123333333,2.16122567,1.17815203,0.0,0.45532539
0.14,517.0879598609747,4681.598891050446,0.17,567.1340816894551,2807.0661901480953,0.15761164,735.0917009868488,1353.2024742200215,0.23954149,630.4624295957246,2704.862970806517,0.19224076,0.016603195,0.0115013666666666,0.0152425666666666,9.1361005675,6.450137046666666,10.282390336666667,2.24223652,1.22738749,0.0,0.56266184
0.15,514.4343562507041,4685.609511321984,0.17,565.7537625197631,2805.639670236036,0.15759239,741.4427640003763,1353.2771607644759,0.23950699,632.4351459845154,2707.3697598340873,0.19222251,0.016858275,0.0114915566666666,0.0154120266666666,9.2991160025,6.46831078,10.40447674,2.32123784,1.27673855,0.0,0.68469532
0.16,516.8904427446356,4680.535201685832,0.17,572.5239477203183,2805.4472465971426,0.15757069,737.9887566726537,1348.116743370963,0.23946808,634.6617363478761,2707.074710004233,0.19220192,0.01719413,0.0115215799999999,0.0156507233333333,9.5032512175,6.509063049999999,10.57236167,2.39846028,1.32637691,0.0,0.82209696
0.17,514.2351759748126,4685.686587980463,0.17,574.0693998928633,2808.772358798627,0.15754641,748.9868741405847,1353.0898448832397,0.23942458,638.1381108332355,2713.0829979901546,0.19217891,0.01746311,0.0115123333333333,0.0158217833333333,9.6725452425,6.530066176666666,10.69552969,2.47409898,1.37645355,0.0,0.97549288
0.18,517.9098417790851,4683.2272487405635,0.17,580.865023809884,2807.2708650099994,0.15751946,751.8850764513004,1353.950843520261,0.2393763,640.9423965326683,2708.0308436397204,0.19215336,0.01591524,0.0102295933333333,0.0142103133333333,9.103151207500002,5.887557269999999,9.719358523333334,2.5483166,1.42710036,0.0,1.14546544
0.19,516.0530893544981,4683.365978059538,0.17,584.8512395055672,2808.808458466115,0.15748972,760.3837103585574,1353.3547423120249,0.23932306,647.8858801301125,2712.3142249553966,0.19212519,0.0162245125,0.0102252633333333,0.01440064,9.302467145,5.911025086666666,9.859108556666667,2.62124836,1.47843279,0.0,1.33255422
0.2,515.78321644938,4680.141471647998,0.17,591.2958114574683,2809.230274339962,0.15745711,766.4436023204713,1359.0013529796604,0.23926468,648.2793629320811,2713.010142707885,0.1920943,0.0165425675,0.0102208233333333,0.0145901433333333,9.50562106,5.935338663333333,9.998008973333333,2.69300773,1.53055281,0.0,1.53725678
0.21,514.7910820876626,4683.264213798567,0.17,597.2972092664456,2802.7551946352983,0.15742152,772.5041818829237,1359.6876830311157,0.23920101,652.3363227561077,2713.6970050438,0.1920606,0.0168929725,0.0102196033333333,0.0147996666666666,9.721725485,5.962011273333334,10.14753226,2.76369198,1.5835518,0.0,1.76002931
0.22,518.5980238538186,4684.784818090847,0.17,601.8825523111364,2809.1464845803457,0.15738288,776.181943931595,1355.9609387372006,0.2391319,654.7661838761036,2711.0544710024187,0.19202401,0.017231005,0.0102150333333333,0.01498778,9.933416605,5.987950259999999,10.28469356,2.83338693,1.63751289,0.0,2.00128712
0.23,515.8438822123329,4680.88482688312,0.17,608.9420387912355,2808.027588825844,0.15734109,781.6276470266777,1357.3867212750326,0.23905719,661.6298540564035,2716.762250601857,0.19198446,0.017579855,0.0102104633333333,0.01517497,10.1498580975,6.014665286666666,10.420897796666669,2.90217052,1.69251284,0.0,2.26140519
0.24,515.2962855321443,4684.5549187933275,0.17,613.2412704956089,2809.5087221411763,0.15729607,789.8109805103586,1358.3875860964727,0.23897676,663.8492833037195,2718.179795363254,0.19194187,0.0179556074999999,0.0102080933333333,0.0153754366666666,10.376882845,6.0431710533333325,10.563810103333331,2.97011527,1.74862328,0.0,2.54071868
0.25,515.4486740754941,4683.735671566182,0.17,626.7804374508202,2815.208416131288,0.15724774,800.084640055187,1359.2099268093577,0.23889047,673.5757311500915,2715.9919116304045,0.19189617,0.0183283549999999,0.0102035466666666,0.01556099,10.60361773,6.071344836666666,10.698140083333334,3.03728971,1.80591129,0.0,2.83952343
0.26,517.2175595475773,4682.27013583116,0.17,626.3669652817542,2812.7186060476492,0.15719604,804.8209523060025,1360.094012908365,0.23879819,674.0408641756278,2715.535452067376,0.19184729,0.018740495,0.01020273,0.01577046,10.845156105,6.101972110000001,10.844834506666666,3.10375883,1.8644397,0.0,3.15807661
0.27,516.8838293051987,4685.266993231807,0.17,635.9030394616791,2818.5889497084386,0.15714089,820.0427667879779,1364.6010650642852,0.23869982,681.4151630834818,2716.0669264197177,0.19179518,0.0191400125,0.01019826,0.0159546933333333,11.083225225,6.1314606,10.977442036666666,3.16958398,1.92426686,0.0,3.49659733
0.28,516.9784063996625,4679.1531335208665,0.17,647.4035547395998,2813.460985945775,0.15708222,826.2818334412805,1369.3218669102673,0.23859526,686.2989023983283,2720.1748243213274,0.19173977,0.0196637925,0.0101166866666666,0.0162770833333333,11.3751254125,6.123235673333333,11.160852836666663,3.2348223,1.98544635,0.0,3.85526735
0.29,517.0145831824864,4684.251008556312,0.17,656.2404846088357,2815.7288828562364,0.15701998,838.1788377274221,1370.4820221898945,0.23848439,697.2150129670131,2720.933245674866,0.19168101,0.0201262425,0.01011357,0.0164912333333333,11.63457667,6.154210586666667,11.306089866666667,3.29952606,2.04802646,0.0,4.23423182
0.3,520.4362363782114,4686.796517374971,0.17,665.3387672555145,2821.1992685998534,0.1569541,844.4016099867587,1371.1263399054894,0.23836713,702.7119915263344,2722.8783876366315,0.19161885,0.0206048725,0.0101105133333333,0.01670616,11.9002912675,6.18568921,11.451310636666667,3.36374189,2.11204975,0.0,4.63360002
0.31,515.3401111437013,4686.437533337025,0.17,675.8401542562788,2820.940078431611,0.15688454,857.4503872706039,1367.0955704370713,0.23824341,712.4816896101621,2721.672543044224,0.19155325,0.0212811875,0.0102264966666666,0.0170333433333333,12.2440266375,6.27731763,11.687458623333333,3.42751024,2.17755257,0.0,5.05344621
0.32,515.1284557183275,4684.337260499901,0.17,680.9452102210751,2824.367733613648,0.15681125,867.3811580057719,1370.7511602914824,0.23811314,717.074822460078,2726.4443829556444,0.19148416,0.0217580325,0.0102218266666666,0.0172171633333333,12.512258385,6.309216163333333,11.816987623333333,3.49086497,2.24456477,0.0,5.49381036
