time,r_humerus_u,r_humerus_v,r_humerus_depth,r_ulna_radius_hand_u,r_ulna_radius_hand_v,r_ulna_radius_hand_depth,load_2kg_u,load_2kg_v,load_2kg_depth,center_of_mass_u,center_of_mass_v,center_of_mass_depth
-0.0,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
0.01,516.1529411764706,4683.557647058824,0.17,552.92423692569,2803.5346855936696,0.15769991,722.8939727285592,1349.238407501649,0.23969984,620.1737584135146,2706.009000413364,0.1923245
0.02,516.1529411764706,4683.557647058824,0.17,552.9695049360297,2803.539179105187,0.15769962,722.9448695534418,1349.2445497652873,0.23969931,620.2077346264552,2706.0142253534164,0.19232422
0.03,516.1529411764706,4683.557647058824,0.17,553.0776236817363,2803.550180530734,0.15769891,723.0665115159056,1349.2592029538498,0.23969804,620.2889037769945,2706.0267658328894,0.19232355
0.04,516.1529411764706,4683.557647058824,0.17,553.2793849290912,2803.5707102435745,0.15769759,723.2933659880729,1349.2865653648828,0.23969568,620.4403337522482,2706.050125232487,0.1923223
0.05,516.1529411764706,4683.557647058824,0.17,553.6044427909058,2803.6036368070686,0.15769547,723.6589576442454,1349.3307269871107,0.23969187,620.6843469298013,2706.087810079737,0.19232029
0.06,516.1529411764706,4683.557647058824,0.17,554.0816913439364,2803.6523648737557,0.15769235,724.1956577572985,1349.3957551512754,0.23968628,621.042519673084,2706.143387078013,0.19231733
0.07,516.1529411764706,4683.557647058824,0.17,554.7385287129539,2803.719530825606,0.15768806,724.9344019367272,1349.485609831534,0.23967857,621.535563382369,2706.219995438692,0.19231326
0.08,516.1529411764706,4683.557647058824,0.17,555.6013714147715,2803.8083839656956,0.15768242,725.9047202122465,1349.604055535718,0.23966846,622.1831353686907,2706.321022364603,0.19230791
0.09,516.1529411764706,4683.557647058824,0.17,556.6950657512748,2803.9217893839664,0.15767527,727.1345772264979,1349.7552250285128,0.23965563,623.0039055414758,2706.4497970682646,0.19230112
0.1,516.1529411764706,4683.557647058824,0.17,558.043114559685,2804.0627638877663,0.15766646,728.6504495496991,1349.9428892863373,0.2396398,624.0154980353915,2706.6092847177397,0.19229276
0.11,516.1529411764706,4683.557647058824,0.17,559.6677420472013,2804.234713314104,0.15765582,730.4772304132451,1350.1710590732278,0.23962073,625.2346131869294,2706.803068628078,0.19228267
0.12,516.1529411764706,4683.557647058824,0.17,561.5899344361316,2804.440804720888,0.15764323,732.6384153065629,1350.443915800014,0.23959814,626.6768481441168,2707.0343066276546,0.19227072
0.13,516.1529411764706,4683.557647058824,0.17,563.8294078071517,2804.6844432686844,0.15762855,735.1561744746251,1350.765741209942,0.2395718,628.3568845604881,2707.306350012397,0.19225679
0.14,516.1529411764706,4683.557647058824,0.17,566.4046234148697,2804.9697243173155,0.15761164,738.0511726799396,1351.14103364724,0.23954149,630.2886151719333,2707.6228038216245,0.19224076
0.15,516.1529411764706,4683.557647058824,0.17,569.3331105645393,2805.3003599983476,0.15759239,741.3428793873616,1351.574500602258,0.23950699,632.48495922772,2707.9873402964095,0.19222251
0.16,516.1529411764706,4683.557647058824,0.17,572.6311511360393,2805.6806783038137,0.15757069,745.0495748744468,1352.071410937107,0.23946808,634.9579900138355,2708.4039493466034,0.19220192
0.17,516.1529411764706,4683.557647058824,0.17,576.3139280672914,2806.115554140523,0.15754641,749.1881877792164,1352.6369798790083,0.23942458,637.7190629294338,2708.876513036732,0.19217891
0.18,516.1529411764706,4683.557647058824,0.17,580.3957834797046,2806.609860140455,0.15751946,753.7745716681226,1353.2771790691058,0.2393763,640.7786280708284,2709.40953413461,0.19215336
0.19,516.1529411764706,4683.557647058824,0.17,584.8900410769668,2807.1693263534917,0.15748972,758.8234013053318,1353.9982047697367,0.23932306,644.1464214036691,2710.0074716907243,0.19212519
0.2,516.1529411764706,4683.557647058824,0.17,589.8088082526092,2807.7997595662714,0.15745711,764.348332566261,1354.8068223023974,0.23926468,647.8314661080522,2710.6754130653535,0.1920943
0.21,516.1529411764706,4683.557647058824,0.17,595.1635634060706,2808.507675443612,0.15742152,770.3616903624278,1355.7101936985969,0.23920101,651.8419498845677,2711.4184585490207,0.1920606
