time,r_shoulder_elev,r_elbow_flex,elbow_vel,elbow_acc,rep_index,fatigue_level
0.0000,14.125529,17.739285,0.004247,5.032575,1,0.0000
0.0100,14.125529,17.739328,0.054573,9.338276,1,0.0002
0.0200,14.125529,17.740377,0.191013,16.742224,1,0.0003
0.0300,14.125529,17.743148,0.389417,22.238321,1,0.0005
0.0400,14.125529,17.748165,0.635779,26.978822,1,0.0006
0.0500,14.125529,17.755864,0.928994,32.303161,1,0.0008
0.0600,14.125529,17.766745,1.281842,39.275650,1,0.0009
0.0700,14.125529,17.781501,1.714507,48.075779,1,0.0011
0.0800,14.125529,17.801035,2.243358,57.790857,1,0.0012
0.0900,14.125529,17.826368,2.870324,66.746589,1,0.0014
0.1000,14.125529,17.858442,3.578290,73.256806,1,0.0016
0.1100,14.125529,17.897934,4.335460,76.461765,1,0.0017
0.1200,14.125529,17.945151,5.107525,76.857588,1,0.0019
0.1300,14.125529,18.000084,5.872612,76.236257,1,0.0020
0.1400,14.125529,18.062603,6.632250,77.011318,1,0.0022
0.1500,14.125529,18.132729,7.412838,81.187972,1,0.0023
0.1600,14.125529,18.210860,8.256010,89.418563,1,0.0025
0.1700,14.125529,18.297849,9.201209,100.577070,1,0.0027
0.1800,14.125529,18.394884,10.267551,112.082415,1,0.0028
0.1900,14.125529,18.503200,11.442858,120.881998,1,0.0030
0.2000,14.125529,18.623741,12.685191,124.710351,1,0.0031
0.2100,14.125529,18.756904,13.937065,123.095666,1,0.0033
0.2200,14.125529,18.902483,15.147104,117.668577,1,0.0034
0.2300,14.125529,19.059846,16.290436,111.606465,1,0.0036
0.2400,14.125529,19.228291,17.379233,108.408761,1,0.0037
0.2500,14.125529,19.407431,18.458612,110.490579,1,0.0039
0.2600,14.125529,19.597464,19.589045,118.175408,1,0.0041
0.2700,14.125529,19.799212,20.822120,129.516905,1,0.0042
0.2800,14.125529,20.013906,22.179383,141.043230,1,0.0044
0.2900,14.125529,20.242799,23.642984,149.133948,1,0.0045
0.3000,14.125529,20.486766,25.162062,151.471060,1,0.0047
0.3100,14.125529,20.746041,26.672406,147.967727,1,0.0048
0.3200,14.125529,21.020214,28.121417,140.789547,1,0.0050
0.3300,14.125529,21.308469,29.488196,133.457512,1,0.0052
0.3400,14.125529,21.609978,30.790567,129.402561,1,0.0053
0.3500,14.125529,21.924280,32.076248,130.569187,1,0.0055
0.3600,14.125529,22.251503,33.401951,136.643940,1,0.0056
0.3700,14.125529,22.592319,34.809126,145.223077,1,0.0058
0.3800,14.125529,22.947685,36.306412,152.842109,1,0.0059
0.3900,14.125529,23.318448,37.865969,156.433023,1,0.0061
0.4000,14.125529,23.705005,39.435073,154.601477,1,0.0062
0.4100,14.125529,24.107149,40.957998,148.197119,1,0.0064
0.4200,14.125529,24.524165,42.399015,139.948938,1,0.0066
0.4300,14.125529,24.955129,43.756977,133.326904,1,0.0067
0.4400,14.125529,25.399304,45.065553,131.107843,1,0.0069
0.4500,14.125529,25.856440,46.379134,134.237185,1,0.0070
0.4600,14.125529,26.326887,47.750297,141.446045,1,0.0072
0.4700,14.125529,26.811446,49.208055,149.765136,1,0.0073
0.4800,14.125529,27.311048,50.745600,155.709558,1,0.0075
0.4900,14.125529,27.826358,52.322246,156.644113,1,0.0077
0.5000,14.125529,28.357493,53.878482,151.782658,1,0.0078
0.5100,14.125529,28.903928,55.357899,142.442235,1,0.0080
0.5200,14.125529,29.464651,56.727326,131.485344,1,0.0081
0.5300,14.125529,30.038475,57.987606,122.207322,1,0.0083
0.5400,14.125529,30.624403,59.171473,117.128023,1,0.0084
0.5500,14.125529,31.221904,60.330166,117.152897,1,0.0086
0.5600,14.125529,31.831006,61.514531,121.389053,1,0.0087
0.5700,14.125529,32.452195,62.757947,127.623668,1,0.0089
0.5800,14.125529,33.086165,64.067004,133.216621,1,0.0091
0.5900,14.125529,33.733535,65.422280,136.028496,1,0.0092
0.6000,14.125529,34.394611,66.787574,135.040004,1,0.0094
0.6100,14.125529,35.069286,68.123080,130.486523,1,0.0095
0.6200,14.125529,35.757072,69.397305,123.545935,1,0.0097
0.6300,14.125529,36.457232,70.593999,115.782964,1,0.0098
0.6400,14.125529,37.168952,71.712964,108.605598,1,0.0100
0.6500,14.125529,37.891492,72.766111,102.924249,1,0.0102
0.6600,14.125529,38.624274,73.771449,99.071394,1,0.0103
0.6700,14.125529,39.366921,74.747538,96.913071,1,0.0105
0.6800,14.125529,40.119225,75.709710,96.024151,1,0.0106
0.6900,14.125529,40.881115,76.668021,95.824381,1,0.0108
0.7000,14.125529,41.652586,77.626198,95.651430,1,0.0109
0.7100,14.125529,42.433639,78.581050,94.822178,1,0.0111
0.7200,14.125529,43.224207,79.522641,92.752881,1,0.0112
0.7300,14.125529,44.024092,80.436108,89.157670,1,0.0114
0.7400,14.125529,44.832929,81.305795,84.254714,1,0.0116
0.7500,14.125529,45.650207,82.121202,78.841765,1,0.0117
0.7600,14.125529,46.475353,82.882630,74.113852,1,0.0119
0.7700,14.125529,47.307860,83.603479,71.201801,1,0.0120
0.7800,14.125529,48.147422,84.306666,70.570843,1,0.0122
0.7900,14.125529,48.993993,85.014896,71.551586,1,0.0123
0.8000,14.125529,49.847720,85.737698,72.295741,1,0.0125
0.8100,14.125529,50.708747,86.460811,70.315087,1,0.0127
0.8200,14.125529,51.576937,87.144000,63.507746,1,0.0128
0.8300,14.125529,52.451627,87.730966,51.305114,1,0.0130
0.8400,14.125529,53.331556,88.170102,35.419689,1,0.0131
0.8500,14.125529,54.215029,88.439359,19.739615,1,0.0133
0.8600,14.125529,55.100343,88.564894,9.212483,1,0.0134
0.8700,14.125529,55.986327,88.623609,7.991904,1,0.0136
0.8800,14.125529,56.872815,88.724732,17.508736,1,0.0137
0.8900,14.125529,57.760822,88.973784,35.288563,1,0.0139
0.9000,14.125529,58.652291,89.430504,55.158498,1,0.0141
0.9100,14.125529,59.549432,90.076954,68.997159,1,0.0142
0.9200,14.125529,60.453830,90.810447,69.552251,1,0.0144
0.9300,14.125529,61.365641,91.467999,53.335411,1,0.0145
0.9400,14.125529,62.283190,91.877155,22.440418,1,0.0147
0.9500,14.125529,63.203184,91.916807,-15.569996,1,0.0148
0.9600,14.125529,64.121526,91.565755,-49.876588,1,0.0150
