time,r_shoulder_elev,r_elbow_flex,elbow_vel,elbow_acc,rep_index,fatigue_level
0.0000,20.000000,20.000000,0.122530,10.482998,1,0.0000
0.0100,20.000000,20.001225,0.227360,18.882177,1,0.0005
0.0200,20.000000,20.004547,0.500174,33.216152,1,0.0011
0.0300,20.000000,20.011229,0.891683,45.207229,1,0.0016
0.0400,20.000000,20.022381,1.404318,58.815642,1,0.0021
0.0500,20.000000,20.039315,2.067996,75.699903,1,0.0026
0.0600,20.000000,20.063741,2.918316,95.145112,1,0.0032
0.0700,20.000000,20.097681,3.970898,114.440592,1,0.0037
0.0800,20.000000,20.143159,5.207128,130.420859,1,0.0042
0.0900,20.000000,20.201824,6.579315,141.227491,1,0.0047
0.1000,20.000000,20.274745,8.031678,147.270500,1,0.0053
0.1100,20.000000,20.362458,9.524725,150.892681,1,0.0058
0.1200,20.000000,20.465240,11.049532,155.028191,1,0.0063
0.1300,20.000000,20.583448,12.625289,161.714492,1,0.0068
0.1400,20.000000,20.717745,14.283821,171.332379,1,0.0074
0.1500,20.000000,20.869125,16.051937,182.925618,1,0.0079
0.1600,20.000000,21.038784,17.942334,195.234382,1,0.0084
0.1700,20.000000,21.227971,19.956624,207.626056,1,0.0089
0.1800,20.000000,21.437917,22.094855,220.214957,1,0.0095
0.1900,20.000000,21.669868,24.360924,233.067150,1,0.0100
0.2000,20.000000,21.925135,26.756198,245.101505,1,0.0105
0.2100,20.000000,22.204992,29.262954,253.643451,1,0.0110
0.2200,20.000000,22.510394,31.829067,255.289385,1,0.0116
0.2300,20.000000,22.841574,34.368741,247.917348,1,0.0121
0.2400,20.000000,23.197769,36.787414,232.805448,1,0.0126
0.2500,20.000000,23.577322,39.024850,215.456786,1,0.0131
0.2600,20.000000,23.978266,41.096550,204.193732,1,0.0137
0.2700,20.000000,24.399253,43.108725,206.724814,1,0.0142
0.2800,20.000000,24.840440,45.231046,226.125780,1,0.0147
0.2900,20.000000,25.303874,47.631241,258.300577,1,0.0152
0.3000,20.000000,25.793065,50.397057,292.550949,1,0.0158
0.3100,20.000000,26.311815,53.482260,315.486365,1,0.0163
0.3200,20.000000,26.862710,56.706785,316.796135,1,0.0168
0.3300,20.000000,27.445951,59.818182,294.268752,1,0.0173
0.3400,20.000000,28.059074,62.592160,255.539734,1,0.0179
0.3500,20.000000,28.697794,64.928977,215.438620,1,0.0184
0.3600,20.000000,29.357654,66.900932,189.872180,1,0.0189
0.3700,20.000000,30.035813,68.726421,188.915335,1,0.0194
0.3800,20.000000,30.732182,70.679239,212.288778,1,0.0200
0.3900,20.000000,31.449397,72.972196,249.374496,1,0.0205
0.4000,20.000000,32.191626,75.666729,283.818676,1,0.0210
0.4100,20.000000,32.962732,78.648570,300.614270,1,0.0215
0.4200,20.000000,33.764597,81.679014,292.408327,1,0.0221
0.4300,20.000000,34.596312,84.496736,262.209010,1,0.0226
0.4400,20.000000,35.454532,86.923194,221.446552,1,0.0231
0.4500,20.000000,36.334776,88.925667,184.564646,1,0.0236
0.4600,20.000000,37.233045,90.614487,162.867134,1,0.0242
0.4700,20.000000,38.147066,92.183010,160.472723,1,0.0247
0.4800,20.000000,39.076706,93.823942,173.943276,1,0.0252
0.4900,20.000000,40.023545,95.661875,195.189328,1,0.0257
0.5000,20.000000,40.989943,97.727728,215.684296,1,0.0263
0.5100,20.000000,41.978099,99.975561,229.646089,1,0.0268
0.5200,20.000000,42.989454,102.320650,234.790819,1,0.0273
0.5300,20.000000,44.024512,104.671378,230.906638,1,0.0278
0.5400,20.000000,45.082882,106.938783,217.836500,1,0.0284
0.5500,20.000000,46.163288,109.028108,194.695163,1,0.0289
0.5600,20.000000,47.263444,110.832686,161.142807,1,0.0294
0.5700,20.000000,48.379942,112.250964,119.917738,1,0.0299
0.5800,20.000000,49.508463,113.231041,78.625196,1,0.0305
0.5900,20.000000,50.644562,113.823468,48.825123,1,0.0310
0.6000,20.000000,51.784933,114.207543,41.881235,1,0.0315
0.6100,20.000000,52.928713,114.661092,63.104074,1,0.0320
0.6200,20.000000,54.078155,115.469625,107.233115,1,0.0326
0.6300,20.000000,55.238106,116.805755,158.236757,1,0.0331
0.6400,20.000000,56.414270,118.634360,194.554675,1,0.0336
0.6500,20.000000,57.610793,120.696848,198.077187,1,0.0341
0.6600,20.000000,58.828207,122.595904,162.829680,1,0.0347
0.6700,20.000000,60.062711,123.953442,98.881788,1,0.0352
0.6800,20.000000,61.307275,124.573539,28.917872,1,0.0357
0.6900,20.000000,62.554182,124.531799,-21.577264,1,0.0363
0.7000,20.000000,63.797911,124.141994,-36.165985,1,0.0368
0.7100,20.000000,65.037022,123.808480,-15.537751,1,0.0373
0.7200,20.000000,66.274081,123.831239,22.526426,1,0.0378
0.7300,20.000000,67.513647,124.259008,51.806589,1,0.0384
0.7400,20.000000,68.759261,124.867371,51.001414,1,0.0389
0.7500,20.000000,70.010994,125.279036,15.171402,1,0.0394
0.7600,20.000000,71.264842,125.170799,-40.802543,1,0.0399
0.7700,20.000000,72.514410,124.462986,-89.059274,1,0.0405
0.7800,20.000000,73.754102,123.389613,-102.986351,1,0.0410
0.7900,20.000000,74.982202,122.403259,-71.866953,1,0.0415
0.8000,20.000000,76.202167,121.952274,-8.278257,1,0.0420
0.8100,20.000000,77.421248,122.237693,56.167522,1,0.0426
0.8200,20.000000,78.646921,123.075625,85.376432,1,0.0431
0.8300,20.000000,79.882760,123.945222,56.815156,1,0.0436
0.8400,20.000000,81.125825,124.211928,-26.023351,1,0.0441
0.8500,20.000000,82.366999,123.424755,-133.502149,1,0.0447
0.8600,20.000000,83.594320,121.541885,-222.901548,1,0.0452
0.8700,20.000000,84.797836,118.966724,-258.761692,1,0.0457
0.8800,20.000000,85.973655,116.366651,-230.527348,1,0.0462
0.8900,20.000000,87.125169,114.356177,-158.347555,1,0.0468
0.9000,20.000000,88.260778,113.199700,-83.483020,1,0.0473
0.9100,20.000000,89.389163,112.686517,-47.523713,1,0.0478
0.9200,20.000000,90.514509,112.249226,-70.637309,1,0.0483
0.9300,20.000000,91.634148,111.273771,-140.145501,1,0.0489
0.9400,20.000000,92.739984,109.446316,-216.013115,1,0.0494
0.9500,20.000000,93.823074,106.953508,-251.421445,1,0.0499
0.9600,20.000000,94.879054,104.417887,-218.596946,1,0.0504
0.9700,20.000000,95.911432,102.581569,-126.626134,1,0.0510
0.9800,20.000000,96.930686,101.885364,-21.165194,1,0.0515
0.9900,20.000000,97.949139,102.158265,35.451699,1,0.0520
1.0000,20.000000,98.973851,102.594398,-4.779596,1,0.0525
1.0100,20.000000,100.001027,102.062673,-148.281664,1,0.0531
1.0200,20.000000,101.015104,99.628765,-350.606365,1,0.0536
1.0300,20.000000,101.993603,95.050546,-531.471664,1,0.0541
1.0400,20.000000,102.916115,88.999332,-608.930337,1,0.0546
1.0500,20.000000,103.773589,82.871939,-537.702260,1,0.0552
1.0600,20.000000,104.573554,78.245286,-333.622154,1,0.0557
1.0700,20.000000,105.338495,76.199496,-71.638742,1,0.0562
1.0800,20.000000,106.097544,76.812512,143.376882,1,0.0567
1.0900,20.000000,106.874745,79.067034,220.998824,1,0.0573
1.1000,20.000000,107.678885,81.232488,125.152770,1,0.0578
1.1100,20.000000,108.499395,81.570089,-108.745675,1,0.0583
1.1200,20.000000,109.310286,79.057575,-387.792704,1,0.0588
1.1300,20.000000,110.080546,73.814235,-601.030043,1,0.0594
1.1400,20.000000,110.786571,67.036974,-666.906035,1,0.0599
1.1500,20.000000,111.421286,60.476115,-567.561996,1,0.0604
1.1600,20.000000,111.996093,55.685734,-354.700730,1,0.0609
1.1700,20.000000,112.535001,53.382100,-124.781783,1,0.0615
1.1800,20.000000,113.063735,53.190098,24.745001,1,0.0620
1.1900,20.000000,113.598803,53.877000,38.021198,1,0.0625
1.2000,20.000000,114.141275,53.950522,-76.989156,1,0.0630
1.2100,20.000000,114.677813,52.337217,-255.966636,1,0.0636
1.2200,20.000000,115.188020,48.831189,-410.825012,1,0.0641
1.2300,20.000000,115.654437,44.120717,-471.413162,1,0.0646
1.2400,20.000000,116.070434,39.402926,-416.685936,1,0.0651
1.2500,20.000000,116.442495,35.786998,-281.365130,1,0.0657
1.2600,20.000000,116.786174,33.775624,-136.142130,1,0.0662
1.2700,20.000000,117.118008,33.064155,-51.985921,1,0.0667
1.2800,20.000000,117.447457,32.735905,-66.166845,1,0.0672
1.2900,20.000000,117.772726,31.740818,-166.027287,1,0.0678
1.3000,20.000000,118.082274,29.415359,-297.390920,1,0.0683
1.3100,20.000000,118.361033,25.793000,-392.455685,1,0.0688
1.3200,20.000000,118.598134,21.566246,-402.946734,1,0.0693
1.3300,20.000000,118.792358,17.734065,-322.445899,1,0.0699
1.3400,20.000000,118.952815,15.117328,-187.751840,1,0.0704
1.3500,20.000000,119.094704,13.979029,-59.653511,1,0.0709
1.3600,20.000000,119.232395,13.924257,6.675405,1,0.0715
1.3700,20.000000,119.373190,14.112537,-12.952200,1,0.0720
1.3800,20.000000,119.514646,13.665213,-102.342959,1,0.0725
1.3900,20.000000,119.646494,12.065677,-214.890390,1,0.0730
1.4000,20.000000,119.755960,9.367406,-296.820551,1,0.0736
1.4100,20.000000,119.833842,6.129266,-311.746468,1,0.0741
1.4200,20.000000,119.878545,3.132476,-254.909235,1,0.0746
1.4300,20.000000,119.896492,1.031082,-151.468128,1,0.0751
