rep,fatigue_level,target_elbow_deg,flexion_duration_s,extension_duration_s,top_pause_s,bottom_pause_s,tremor_amp_deg,noise_std_deg,asymmetry_s
1,0.0,120.0,2.0,2.0,0.2,0.2,0.0,0.0,0.0
2,0.034482758620689655,119.70281115899385,2.02,2.0100000000000002,0.2,0.2,0.010760291805057278,0.001600821880836654,0.009999999999999787
3,0.06896551724137931,119.29316183155217,2.05,2.02,0.2,0.2,0.028396580317995645,0.004527808029645605,0.029999999999999805
4,0.10344827586206896,118.82663246823704,2.07,2.0300000000000002,0.2,0.2,0.050094933635147554,0.008318114494431166,0.03999999999999959
5,0.13793103448275862,118.3188460418527,2.1,2.04,0.2,0.2,0.07493902473698624,0.012806575046693231,0.06000000000000005
6,0.1724137931034483,117.7779951440446,2.13,2.05,0.2,0.2,0.10241935938214737,0.017897732727099134,0.08000000000000007
7,0.20689655172413793,117.20924596542861,2.16,2.06,0.2,0.2,0.13220132244244065,0.023527180662793554,0.10000000000000009
8,0.2413793103448276,116.61619717774896,2.2,2.07,0.2,0.2,0.16404436056080554,0.02964763613003123,0.13000000000000034
9,0.27586206896551724,116.00151950311246,2.23,2.08,0.2,0.2,0.19776527193211788,0.03622246423716484,0.1499999999999999
10,0.3103448275862069,115.36728445141368,2.2600000000000002,2.1,0.2,0.2,0.23321880311186222,0.04322219078258966,0.16000000000000014
11,0.3448275862068966,114.71515203145447,2.29,2.11,0.2,0.2,0.270286309842071,0.050622432716784786,0.18000000000000016
12,0.3793103448275862,114.04648633575063,2.33,2.12,0.2,0.2,0.3088686345854934,0.058402580884188246,0.20999999999999996
13,0.41379310344827586,113.36243089173031,2.36,2.13,0.2,0.2,0.34888138155487725,0.06654491595544933,0.22999999999999998
14,0.4482758620689655,112.66396003377648,2.4,2.14,0.2,0.2,0.39025164484697666,0.07503398986513639,0.2599999999999998
15,0.4827586206896552,111.95191521602554,2.43,2.16,0.2,0.2,0.4329156629553278,0.0838561782147855,0.27
16,0.5172413793103449,111.22703145726852,2.47,2.17,0.2,0.2,0.47681708862129585,0.09299934727087193,0.30000000000000027
17,0.5517241379310345,110.48995708780345,2.5,2.18,0.2,0.2,0.5219056815811643,0.10245260037354585,0.31999999999999984
18,0.5862068965517241,109.74126881269,2.54,2.19,0.2,0.2,0.5681363004265519,0.11220608094232068,0.3500000000000001
19,0.6206896551724138,108.98148341567482,2.58,2.21,0.2,0.2,0.6154681112941764,0.12225081680043136,0.3700000000000001
20,0.6551724137931034,108.2110670000098,2.61,2.22,0.2,0.2,0.6638639571190685,0.13257859529833801,0.3899999999999997
21,0.6896551724137931,107.43044238819594,2.65,2.23,0.2,0.2,0.7132898480204525,0.14318186181679307,0.41999999999999993
22,0.7241379310344828,106.63999512204029,2.69,2.25,0.2,0.2,0.7637145445861843,0.15405363630458643,0.43999999999999995
23,0.7586206896551724,105.84007838241747,2.73,2.2600000000000002,0.2,0.2,0.8151092134503617,0.16518744392802137,0.46999999999999975
24,0.7931034482758621,105.03101706391325,2.77,2.27,0.2,0.2,0.8674471398689608,0.17657725690447923,0.5
25,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.2,0.2,0.9207034857660739,0.18821744530234844,0.52
26,0.8620689655172413,103.38663873389723,2.84,2.3000000000000003,0.2,0.2,0.9748550844429092,0.20010273510458174,0.5399999999999996
27,0.896551724137931,102.55185815244533,2.88,2.31,0.2,0.2,1.0298802651354393,0.21222817221248247,0.5699999999999998
28,0.9310344827586207,101.70901037131377,2.92,2.32,0.2,0.2,1.0857587020889432,0.2245890913496415,0.6000000000000001
29,0.9655172413793104,100.85832062550487,2.96,2.34,0.2,0.2,1.142471283934094,0.23718108904024984,0.6200000000000001
30,1.0,100.0,3.0,2.35,0.2,0.2,1.2,0.25,0.6499999999999999
