time,rep_index,elbow_moment_Nm,task_failure,a0_BIClong,afat_BIClong,MF_BIClong,cap_BIClong,a0_BICshort,afat_BICshort,MF_BICshort,cap_BICshort,a0_BRA,afat_BRA,MF_BRA,cap_BRA,a0_BRD_hand,afat_BRD_hand,MF_BRD_hand,cap_BRD_hand
-0.00000,1,9.69338,0,0.32122,0.40647,0.00371,1.00000,0.16004,0.30320,0.00277,1.00000,0.28589,0.14272,0.00130,1.00000,0.14023,0.22346,0.00204,1.00000
0.01000,1,9.81058,0,0.32507,0.41142,0.00746,0.99996,0.16184,0.30690,0.00556,0.99997,0.28920,0.14446,0.00262,0.99999,0.14186,0.22617,0.00410,0.99998
0.02000,1,9.92694,0,0.32894,0.41639,0.01126,0.99993,0.16369,0.31063,0.00840,0.99994,0.29255,0.14623,0.00395,0.99997,0.14351,0.22890,0.00619,0.99996
0.03000,1,10.04167,0,0.33280,0.42135,0.01510,0.99989,0.16558,0.31432,0.01126,0.99992,0.29590,0.14803,0.00530,0.99996,0.14516,0.23163,0.00830,0.99994
0.04000,1,10.15407,0,0.33663,0.42621,0.01899,0.99985,0.16748,0.31798,0.01416,0.99989,0.29921,0.14983,0.00667,0.99995,0.14682,0.23429,0.01044,0.99992
0.05000,1,10.26356,0,0.34041,0.43094,0.02292,0.99981,0.16939,0.32155,0.01710,0.99986,0.30245,0.15164,0.00805,0.99993,0.14847,0.23688,0.01260,0.99990
0.06000,1,10.36969,0,0.34412,0.43551,0.02689,0.99977,0.17131,0.32499,0.02006,0.99983,0.30558,0.15346,0.00945,0.99992,0.15011,0.23937,0.01478,0.99987
0.07000,1,10.47223,0,0.34775,0.43987,0.03090,0.99973,0.17323,0.32827,0.02305,0.99980,0.30857,0.15530,0.01087,0.99991,0.15172,0.24175,0.01698,0.99985
0.08000,1,10.57117,0,0.35129,0.44397,0.03495,0.99969,0.17514,0.33138,0.02608,0.99977,0.31142,0.15713,0.01230,0.99989,0.15331,0.24399,0.01921,0.99983
0.09000,1,10.66678,0,0.35475,0.44781,0.03903,0.99965,0.17704,0.33430,0.02912,0.99974,0.31410,0.15898,0.01375,0.99988,0.15487,0.24608,0.02145,0.99981
0.10000,1,10.75957,0,0.35814,0.45141,0.04315,0.99961,0.17895,0.33702,0.03220,0.99971,0.31660,0.16087,0.01522,0.99986,0.15643,0.24802,0.02372,0.99979
0.11000,1,10.85028,0,0.36149,0.45475,0.04729,0.99957,0.18087,0.33955,0.03529,0.99968,0.31894,0.16280,0.01670,0.99985,0.15798,0.24983,0.02599,0.99976
0.12000,1,10.93967,0,0.36480,0.45784,0.05147,0.99953,0.18280,0.34190,0.03841,0.99965,0.32112,0.16476,0.01820,0.99983,0.15952,0.25151,0.02829,0.99974
0.13000,1,11.02841,0,0.36811,0.46072,0.05567,0.99949,0.18476,0.34409,0.04155,0.99962,0.32314,0.16680,0.01973,0.99982,0.16108,0.25306,0.03060,0.99972
