time,elbow_moment_Nm,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,act_elbow_assist,frc_TRIlong,frc_TRIlat,frc_TRImed,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,rep_index,fatigue_level
-0.00000,9.69338,0.01001,0.01002,0.01002,0.32122,0.16004,0.28589,0.14023,0.02120,7.37621,5.03257,4.72874,184.00984,68.38631,281.51384,32.55238,1,0.00000
0.01000,9.81058,0.01001,0.01002,0.01002,0.32507,0.16184,0.28920,0.14186,0.02144,7.37776,5.03379,4.72988,186.19457,69.15071,284.74813,32.92650,1,0.00020
0.02000,9.92694,0.01001,0.01002,0.01002,0.32894,0.16369,0.29255,0.14351,0.02170,7.38252,5.03762,4.73347,188.34857,69.92023,287.96176,33.29776,1,0.00030
0.03000,10.04167,0.01001,0.01002,0.01002,0.33280,0.16558,0.29590,0.14516,0.02196,7.39040,5.04406,4.73951,190.45678,70.68963,291.11617,33.66306,1,0.00050
0.04000,10.15407,0.01001,0.01002,0.01002,0.33663,0.16748,0.29921,0.14682,0.02222,7.40129,5.05305,4.74795,192.50509,71.45422,294.17318,34.02090,1,0.00070
0.05000,10.26356,0.01001,0.01002,0.01002,0.34041,0.16939,0.30245,0.14847,0.02248,7.41502,5.06453,4.75875,194.48262,72.20983,297.09811,34.36948,1,0.00090
0.06000,10.36969,0.01001,0.01002,0.01002,0.34412,0.17131,0.30558,0.15011,0.02274,7.43140,5.07839,4.77180,196.38026,72.95316,299.86241,34.70651,1,0.00100
0.07000,10.47223,0.01001,0.01002,0.01002,0.34775,0.17323,0.30857,0.15172,0.02299,7.45024,5.09453,4.78702,198.19339,73.68202,302.43940,35.03228,1,0.00120
0.08000,10.57117,0.01001,0.01002,0.01002,0.35129,0.17514,0.31142,0.15331,0.02324,7.47130,5.11282,4.80429,199.92096,74.39563,304.81276,35.34628,1,0.00140
0.09000,10.66678,0.01001,0.01002,0.01002,0.35475,0.17704,0.31410,0.15487,0.02349,7.49436,5.13313,4.82349,201.56829,75.09463,306.97550,35.64786,1,0.00150
