time,rep_index,elbow_moment_Nm,task_failure,a0_BIClong,afat_BIClong,MF_BIClong,cap_BIClong,a0_BICshort,afat_BICshort,MF_BICshort,cap_BICshort,a0_BRA,afat_BRA,MF_BRA,cap_BRA,a0_BRD_hand,afat_BRD_hand,MF_BRD_hand,cap_BRD_hand
-0.00000,1,5.72018,0,0.19679,0.23987,0.00219,1.00000,0.09571,0.17894,0.00163,1.00000,0.17293,0.08422,0.00077,1.00000,0.08493,0.13187,0.00120,1.00000
0.01000,1,5.78919,0,0.19907,0.24279,0.00440,0.99998,0.09677,0.18111,0.00328,0.99998,0.17488,0.08526,0.00155,0.99999,0.08587,0.13347,0.00242,0.99999
0.02000,1,5.85775,0,0.20136,0.24572,0.00664,0.99996,0.09786,0.18330,0.00496,0.99997,0.17686,0.08630,0.00233,0.99998,0.08684,0.13507,0.00365,0.99998
0.03000,1,5.92542,0,0.20365,0.24862,0.00891,0.99993,0.09897,0.18548,0.00665,0.99995,0.17884,0.08736,0.00313,0.99998,0.08782,0.13667,0.00490,0.99996
0.04000,1,5.99177,0,0.20593,0.25150,0.01120,0.99991,0.10010,0.18764,0.00836,0.99993,0.18081,0.08842,0.00394,0.99997,0.08880,0.13824,0.00616,0.99995
0.05000,1,6.05632,0,0.20817,0.25429,0.01352,0.99989,0.10124,0.18973,0.01009,0.99992,0.18272,0.08949,0.00475,0.99996,0.08977,0.13978,0.00743,0.99994
0.06000,1,6.11865,0,0.21037,0.25697,0.01587,0.99986,0.10237,0.19176,0.01184,0.99990,0.18458,0.09056,0.00558,0.99995,0.09073,0.14124,0.00872,0.99993
0.07000,1,6.17843,0,0.21251,0.25952,0.01823,0.99984,0.10351,0.19368,0.01360,0.99988,0.18634,0.09163,0.00641,0.99994,0.09168,0.14263,0.01002,0.99991
0.08000,1,6.23557,0,0.21458,0.26188,0.02062,0.99982,0.10463,0.19547,0.01539,0.99986,0.18799,0.09270,0.00726,0.99994,0.09261,0.14392,0.01133,0.99990
0.09000,1,6.29033,0,0.21659,0.26407,0.02303,0.99979,0.10574,0.19714,0.01718,0.99985,0.18954,0.09377,0.00811,0.99993,0.09352,0.14511,0.01266,0.99989
0.10000,1,6.34330,0,0.21856,0.26610,0.02546,0.99977,0.10686,0.19867,0.01900,0.99983,0.19098,0.09486,0.00898,0.99992,0.09442,0.14621,0.01399,0.99987
0.11000,1,6.39537,0,0.22050,0.26798,0.02790,0.99975,0.10798,0.20010,0.02082,0.99981,0.19234,0.09596,0.00985,0.99991,0.09532,0.14722,0.01533,0.99986
0.12000,1,6.44750,0,0.22246,0.26977,0.03036,0.99972,0.10913,0.20146,0.02266,0.99979,0.19362,0.09712,0.01074,0.99990,0.09624,0.14818,0.01669,0.99985
0.13000,1,6.50047,0,0.22446,0.27148,0.03284,0.99970,0.11032,0.20275,0.02451,0.99977,0.19484,0.09833,0.01164,0.99989,0.09717,0.14912,0.01804,0.99983
0.14000,1,6.55469,0,0.22650,0.27312,0.03533,0.99967,0.11154,0.20401,0.02637,0.99975,0.19600,0.09960,0.01254,0.99988,0.09814,0.14999,0.01941,0.99982
0.15000,1,6.61008,0,0.22859,0.27470,0.03783,0.99965,0.11281,0.20520,0.02824,0.99974,0.19710,0.10093,0.01346,0.99987,0.09913,0.15084,0.02079,0.99981
0.16000,1,6.66600,0,0.23069,0.27615,0.04035,0.99962,0.11410,0.20630,0.03012,0.99972,0.19811,0.10231,0.01440,0.99987,0.10014,0.15161,0.02217,0.99979
0.17000,1,6.72144,0,0.23278,0.27744,0.04288,0.99960,0.11540,0.20727,0.03201,0.99970,0.19899,0.10372,0.01534,0.99986,0.10115,0.15229,0.02356,0.99978
0.18000,1,6.77521,0,0.23481,0.27849,0.04542,0.99957,0.11669,0.20807,0.03391,0.99968,0.19970,0.10515,0.01630,0.99985,0.10214,0.15285,0.02495,0.99976
0.19000,1,6.82626,0,0.23673,0.27925,0.04796,0.99955,0.11794,0.20865,0.03581,0.99966,0.20021,0.10657,0.01727,0.99984,0.10309,0.15325,0.02635,0.99975
0.20000,1,6.87397,0,0.23854,0.27971,0.05051,0.99952,0.11915,0.20899,0.03771,0.99964,0.20049,0.10798,0.01826,0.99983,0.10400,0.15347,0.02775,0.99974
0.21000,1,6.91844,0,0.24021,0.27983,0.05307,0.99949,0.12030,0.20908,0.03962,0.99962,0.20053,0.10936,0.01926,0.99982,0.10486,0.15351,0.02915,0.99972
0.22000,1,6.96060,0,0.24178,0.27967,0.05562,0.99947,0.12142,0.20895,0.04153,0.99960,0.20037,0.11074,0.02027,0.99981,0.10568,0.15340,0.03055,0.99971
0.23000,1,7.00216,0,0.24329,0.27927,0.05816,0.99944,0.12251,0.20863,0.04343,0.99958,0.20004,0.11211,0.02129,0.99980,0.10648,0.15316,0.03194,0.99969
0.24000,1,7.04532,0,0.24483,0.27875,0.06070,0.99942,0.12361,0.20823,0.04533,0.99957,0.19961,0.11353,0.02232,0.99979,0.10729,0.15286,0.03334,0.99968
0.25000,1,7.09219,0,0.24645,0.27822,0.06324,0.99939,0.12476,0.20780,0.04722,0.99955,0.19913,0.11501,0.02337,0.99978,0.10814,0.15255,0.03473,0.99967
0.26000,1,7.14421,0,0.24820,0.27775,0.06577,0.99937,0.12597,0.20742,0.04911,0.99953,0.19864,0.11658,0.02443,0.99977,0.10906,0.15225,0.03612,0.99965
0.27000,1,7.20162,0,0.25009,0.27737,0.06830,0.99934,0.12726,0.20709,0.05100,0.99951,0.19816,0.11823,0.02551,0.99976,0.11003,0.15202,0.03750,0.99964
0.28000,1,7.26320,0,0.25208,0.27702,0.07083,0.99932,0.12860,0.20678,0.05289,0.99949,0.19764,0.11996,0.02661,0.99974,0.11105,0.15182,0.03889,0.99962
0.29000,1,7.32647,0,0.25408,0.27661,0.07335,0.99929,0.12995,0.20642,0.05477,0.99947,0.19703,0.12171,0.02772,0.99973,0.11208,0.15158,0.04027,0.99961
0.30000,1,7.38841,0,0.25599,0.27599,0.07587,0.99927,0.13125,0.20591,0.05665,0.99945,0.19625,0.12343,0.02884,0.99972,0.11308,0.15122,0.04165,0.99960
0.31000,1,7.44630,0,0.25770,0.27505,0.07837,0.99924,0.13247,0.20513,0.05852,0.99943,0.19523,0.12509,0.02998,0.99971,0.11400,0.15069,0.04302,0.99958
0.32000,1,7.49866,0,0.25918,0.27371,0.08087,0.99922,0.13356,0.20407,0.06038,0.99941,0.19396,0.12662,0.03114,0.99970,0.11481,0.14996,0.04439,0.99957
0.33000,1,7.54575,0,0.26042,0.27202,0.08335,0.99919,0.13453,0.20273,0.06223,0.99940,0.19243,0.12805,0.03230,0.99969,0.11553,0.14903,0.04575,0.99956
0.34000,1,7.58945,0,0.26147,0.27005,0.08581,0.99917,0.13540,0.20117,0.06406,0.99938,0.19070,0.12938,0.03348,0.99968,0.11617,0.14795,0.04710,0.99954
0.35000,1,7.63262,0,0.26243,0.26796,0.08826,0.99914,0.13621,0.19952,0.06588,0.99936,0.18885,0.13065,0.03468,0.99967,0.11677,0.14680,0.04844,0.99953
0.36000,1,7.67806,0,0.26340,0.26588,0.09068,0.99912,0.13700,0.19788,0.06768,0.99934,0.18695,0.13193,0.03588,0.99965,0.11737,0.14567,0.04976,0.99952
0.37000,1,7.72744,0,0.26442,0.26391,0.09309,0.99909,0.13781,0.19630,0.06947,0.99932,0.18505,0.13323,0.03709,0.99964,0.11800,0.14460,0.05108,0.99950
0.38000,1,7.78074,0,0.26550,0.26204,0.09547,0.99907,0.13864,0.19478,0.07125,0.99931,0.18315,0.13456,0.03832,0.99963,0.11865,0.14359,0.05239,0.99949
0.39000,1,7.83632,0,0.26658,0.26020,0.09785,0.99905,0.13945,0.19329,0.07301,0.99929,0.18124,0.13589,0.03956,0.99962,0.11931,0.14259,0.05369,0.99948
0.40000,1,7.89154,0,0.26759,0.25827,0.10020,0.99902,0.14021,0.19173,0.07476,0.99927,0.17925,0.13718,0.04081,0.99960,0.11993,0.14157,0.05498,0.99946
0.41000,1,7.94388,0,0.26842,0.25618,0.10254,0.99900,0.14088,0.19003,0.07649,0.99925,0.17715,0.13836,0.04207,0.99959,0.12048,0.14045,0.05626,0.99945
0.42000,1,7.99191,0,0.26906,0.25387,0.10485,0.99897,0.14143,0.18817,0.07821,0.99924,0.17492,0.13943,0.04334,0.99958,0.12095,0.13922,0.05753,0.99944
0.43000,1,8.03590,0,0.26949,0.25136,0.10714,0.99895,0.14186,0.18615,0.07990,0.99922,0.17257,0.14037,0.04462,0.99957,0.12132,0.13789,0.05879,0.99942
0.44000,1,8.07766,0,0.26978,0.24875,0.10941,0.99893,0.14220,0.18405,0.08158,0.99920,0.17014,0.14123,0.04591,0.99955,0.12164,0.13650,0.06003,0.99941
0.45000,1,8.11993,0,0.27002,0.24615,0.11165,0.99891,0.14249,0.18196,0.08324,0.99918,0.16771,0.14204,0.04720,0.99954,0.12194,0.13512,0.06126,0.99940
0.46000,1,8.16525,0,0.27030,0.24367,0.11387,0.99888,0.14279,0.17994,0.08488,0.99917,0.16532,0.14287,0.04851,0.99953,0.12225,0.13382,0.06248,0.99939
0.47000,1,8.21502,0,0.27067,0.24135,0.11607,0.99886,0.14310,0.17805,0.08650,0.99915,0.16303,0.14373,0.04982,0.99951,0.12260,0.13261,0.06369,0.99938
0.48000,1,8.26877,0,0.27111,0.23920,0.11826,0.99884,0.14345,0.17627,0.08811,0.99913,0.16082,0.14464,0.05114,0.99950,0.12299,0.13150,0.06489,0.99936
0.49000,1,8.32418,0,0.27156,0.23712,0.12042,0.99882,0.14378,0.17454,0.08970,0.99912,0.15866,0.14555,0.05246,0.99949,0.12338,0.13044,0.06608,0.99935
0.50000,1,8.37756,0,0.27191,0.23501,0.12256,0.99880,0.14406,0.17279,0.09128,0.99910,0.15649,0.14641,0.05380,0.99948,0.12374,0.12937,0.06726,0.99934
0.51000,1,8.42477,0,0.27202,0.23276,0.12468,0.99877,0.14420,0.17093,0.09283,0.99909,0.15426,0.14713,0.05514,0.99946,0.12400,0.12821,0.06843,0.99933
0.52000,1,8.46226,0,0.27180,0.23026,0.12678,0.99875,0.14417,0.16888,0.09437,0.99907,0.15189,0.14766,0.05648,0.99945,0.12412,0.12693,0.06959,0.99932
0.53000,1,8.48809,0,0.27119,0.22746,0.12885,0.99873,0.14391,0.16662,0.09589,0.99906,0.14938,0.14794,0.05783,0.99944,0.12406,0.12550,0.07073,0.99930
0.54000,1,8.50248,0,0.26959,0.22447,0.13090,0.99871,0.14298,0.16420,0.09739,0.99904,0.14737,0.14792,0.05918,0.99942,0.12350,0.12395,0.07186,0.99929
0.55000,1,8.50793,0,0.26621,0.22148,0.13292,0.99869,0.14074,0.16179,0.09886,0.99903,0.14689,0.14748,0.06053,0.99941,0.12196,0.12241,0.07298,0.99928
0.56000,1,8.50885,0,0.26278,0.21845,0.13491,0.99867,0.13848,0.15933,0.10031,0.99901,0.14630,0.14691,0.06187,0.99939,0.12039,0.12087,0.07408,0.99927
0.57000,1,8.51062,0,0.25946,0.21551,0.13687,0.99865,0.13627,0.15695,0.10175,0.99900,0.14567,0.14632,0.06320,0.99938,0.11889,0.11937,0.07516,0.99926
0.58000,1,8.51832,0,0.25641,0.21281,0.13881,0.99863,0.13419,0.15475,0.10316,0.99898,0.14511,0.14581,0.06453,0.99937,0.11751,0.11802,0.07624,0.99925
0.59000,1,8.53544,0,0.25372,0.21046,0.14073,0.99861,0.13232,0.15279,0.10455,0.99897,0.14468,0.14546,0.06585,0.99935,0.11631,0.11686,0.07731,0.99924
0.60000,1,8.56274,0,0.25142,0.20848,0.14263,0.99859,0.13065,0.15111,0.10593,0.99895,0.14441,0.14529,0.06718,0.99934,0.11529,0.11592,0.07836,0.99923
0.61000,1,8.59777,0,0.24944,0.20680,0.14451,0.99857,0.12916,0.14966,0.10729,0.99894,0.14428,0.14527,0.06850,0.99933,0.11443,0.11515,0.07941,0.99922
0.62000,1,8.63523,0,0.24763,0.20531,0.14639,0.99855,0.12779,0.14833,0.10864,0.99893,0.14422,0.14533,0.06983,0.99931,0.11366,0.11448,0.08045,0.99921
0.63000,1,8.66812,0,0.24579,0.20380,0.14824,0.99854,0.12643,0.14699,0.10998,0.99891,0.14411,0.14534,0.07115,0.99930,0.11290,0.11381,0.08149,0.99920
0.64000,1,8.68950,0,0.24375,0.20211,0.15008,0.99852,0.12500,0.14553,0.11131,0.99890,0.14386,0.14518,0.07248,0.99929,0.11206,0.11305,0.08252,0.99919
0.65000,1,8.69428,0,0.24136,0.20010,0.15191,0.99850,0.12341,0.14384,0.11262,0.99889,0.14337,0.14475,0.07380,0.99928,0.11108,0.11211,0.08354,0.99917
0.66000,1,8.68048,0,0.23858,0.19773,0.15371,0.99848,0.12165,0.14189,0.11391,0.99887,0.14260,0.14404,0.07511,0.99926,0.10994,0.11098,0.08456,0.99916
0.67000,1,8.64965,0,0.23545,0.19505,0.15549,0.99846,0.11972,0.13972,0.11518,0.99886,0.14157,0.14304,0.07641,0.99925,0.10866,0.10968,0.08555,0.99915
0.68000,1,8.60613,0,0.23209,0.19215,0.15724,0.99845,0.11766,0.13740,0.11644,0.99885,0.14034,0.14181,0.07771,0.99924,0.10726,0.10826,0.08654,0.99914
