time,elbow_moment_Nm,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,act_elbow_assist,frc_TRIlong,frc_TRIlat,frc_TRImed,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,rep_index,fatigue_level
-0.00000,5.72018,0.01001,0.01003,0.01003,0.19678,0.09570,0.17292,0.08493,0.01286,7.37998,5.03760,4.73388,112.72494,40.89497,170.27069,19.71435,1,0.00000
0.01000,5.78896,0.01001,0.01003,0.01003,0.19905,0.09676,0.17487,0.08586,0.01300,7.38149,5.03883,4.73498,114.01438,41.34073,172.17468,19.92907,1,0.00020
0.02000,5.85725,0.01001,0.01003,0.01003,0.20133,0.09784,0.17684,0.08682,0.01315,7.38620,5.04262,4.73847,115.28314,41.79192,174.06549,20.14529,1,0.00030
0.03000,5.92459,0.01001,0.01003,0.01003,0.20361,0.09895,0.17881,0.08780,0.01330,7.39405,5.04901,4.74447,116.52481,42.24436,175.92162,20.36015,1,0.00050
0.04000,5.99057,0.01001,0.01003,0.01003,0.20588,0.10007,0.18077,0.08877,0.01345,7.40490,5.05796,4.75284,117.73266,42.69502,177.72451,20.56970,1,0.00070
0.05000,6.05487,0.01001,0.01003,0.01003,0.20811,0.10120,0.18268,0.08975,0.01361,7.41859,5.06938,4.76358,118.89891,43.14173,179.45090,20.77497,1,0.00090
0.06000,6.11722,0.01001,0.01003,0.01003,0.21032,0.10234,0.18454,0.09070,0.01376,7.43494,5.08324,4.77662,120.02135,43.58166,181.08683,20.97197,1,0.00100
0.07000,6.17749,0.01001,0.01002,0.01003,0.21247,0.10348,0.18632,0.09166,0.01391,7.45374,5.09934,4.79180,121.09279,44.01477,182.61208,21.16455,1,0.00120
0.08000,6.23568,0.01001,0.01002,0.01003,0.21457,0.10462,0.18801,0.09260,0.01406,7.47476,5.11759,4.80902,122.11493,44.44010,184.01940,21.35012,1,0.00140
0.09000,6.29195,0.01001,0.01002,0.01003,0.21663,0.10576,0.18960,0.09354,0.01420,7.49779,5.13787,4.82819,123.09074,44.85788,185.30294,21.52930,1,0.00150
0.10000,6.34660,0.01001,0.01002,0.01003,0.21866,0.10690,0.19110,0.09446,0.01434,7.52261,5.16005,4.84918,124.02649,45.26920,186.46202,21.70274,1,0.00170
0.11000,6.40007,0.01001,0.01002,0.01003,0.22066,0.10805,0.19250,0.09538,0.01447,7.54901,5.18399,4.87188,124.92716,45.67702,187.49833,21.87284,1,0.00190
0.12000,6.45282,0.01001,0.01002,0.01002,0.22264,0.10921,0.19380,0.09631,0.01460,7.57681,5.20961,4.89621,125.80177,46.08319,188.41680,22.04025,1,0.00200
0.13000,6.50523,0.01001,0.01002,0.01002,0.22462,0.11039,0.19501,0.09724,0.01473,7.60582,5.23677,4.92204,126.65720,46.48947,189.22059,22.20608,1,0.00220
0.14000,6.55758,0.01001,0.01002,0.01002,0.22660,0.11159,0.19613,0.09818,0.01486,7.63590,5.26546,4.94937,127.49699,46.89706,189.91063,22.37073,1,0.00240
0.15000,6.60995,0.01001,0.01002,0.01002,0.22859,0.11281,0.19715,0.09913,0.01498,7.66689,5.29557,4.97810,128.32189,47.30556,190.48263,22.53424,1,0.00260
0.16000,6.66226,0.01001,0.01002,0.01002,0.23057,0.11404,0.19805,0.10009,0.01509,7.69865,5.32701,5.00816,129.12843,47.71346,190.92773,22.69630,1,0.00270
0.17000,6.71424,0.01001,0.01002,0.01002,0.23255,0.11529,0.19883,0.10105,0.01520,7.73100,5.35971,5.03948,129.91234,48.11761,191.23527,22.85481,1,0.00290
0.18000,6.76560,0.01001,0.01002,0.01002,0.23449,0.11653,0.19948,0.10200,0.01530,7.76378,5.39357,5.07196,130.66346,48.51571,191.39096,23.01022,1,0.00310
0.19000,6.81603,0.01001,0.01002,0.01002,0.23639,0.11777,0.19996,0.10294,0.01539,7.79680,5.42847,5.10552,131.37652,48.90412,191.38469,23.16045,1,0.00320
0.20000,6.86540,0.01001,0.01002,0.01002,0.23825,0.11900,0.20028,0.10387,0.01547,7.82988,5.46432,5.14007,132.04813,49.28004,191.21046,23.30440,1,0.00340
0.21000,6.91377,0.01001,0.01002,0.01002,0.24004,0.12021,0.20044,0.10478,0.01554,7.86285,5.50103,5.17550,132.67568,49.64350,190.86828,23.44276,1,0.00360
0.22000,6.96147,0.01001,0.01002,0.01002,0.24180,0.12141,0.20043,0.10568,0.01560,7.89553,5.53848,5.21174,133.26490,49.99466,190.36714,23.57569,1,0.00380
0.23000,7.00908,0.01001,0.01002,0.01002,0.24352,0.12261,0.20027,0.10657,0.01565,7.92778,5.57661,5.24870,133.82459,50.33589,189.72244,23.70480,1,0.00390
0.24000,7.05734,0.01001,0.01002,0.01002,0.24523,0.12380,0.19998,0.10746,0.01570,7.95949,5.61534,5.28634,134.36636,50.67054,188.95429,23.83159,1,0.00410
0.25000,7.10694,0.01001,0.01002,0.01002,0.24695,0.12500,0.19959,0.10836,0.01573,7.99057,5.65463,5.32463,134.90094,51.00188,188.08240,23.95754,1,0.00430
0.26000,7.15836,0.01001,0.01002,0.01002,0.24869,0.12622,0.19909,0.10927,0.01577,8.02096,5.69448,5.36354,135.43451,51.33171,187.11982,24.08412,1,0.00440
0.27000,7.21167,0.01001,0.01002,0.01002,0.25045,0.12745,0.19851,0.11018,0.01580,8.05063,5.73488,5.40308,135.96667,51.65942,186.07270,24.20944,1,0.00460
0.28000,7.26650,0.01001,0.01002,0.01002,0.25222,0.12868,0.19782,0.11111,0.01582,8.07952,5.77580,5.44323,136.48635,51.98076,184.92947,24.33522,1,0.00480
0.29000,7.32202,0.01001,0.01002,0.01002,0.25396,0.12990,0.19700,0.11203,0.01583,8.10756,5.81721,5.48398,136.97753,52.28932,183.67664,24.45681,1,0.00490
0.30000,7.37723,0.01001,0.01002,0.01002,0.25564,0.13110,0.19605,0.11293,0.01583,8.13467,5.85907,5.52527,137.42070,52.57737,182.29602,24.57017,1,0.00510
0.31000,7.43125,0.01001,0.01002,0.01002,0.25722,0.13224,0.19493,0.11379,0.01582,8.16070,5.90129,5.56702,137.79829,52.83744,180.77151,24.67335,1,0.00530
0.32000,7.48357,0.01001,0.01002,0.01002,0.25869,0.13332,0.19364,0.11460,0.01580,8.18553,5.94378,5.60916,138.10052,53.06539,179.10022,24.76370,1,0.00550
0.33000,7.53423,0.01001,0.01002,0.01002,0.26004,0.13434,0.19219,0.11537,0.01577,8.20901,5.98644,5.65159,138.32865,53.25985,177.29059,24.84179,1,0.00560
0.34000,7.58382,0.01001,0.01002,0.01002,0.26128,0.13530,0.19060,0.11609,0.01572,8.23104,6.02918,5.69422,138.49250,53.42386,175.36474,24.90901,1,0.00580
0.35000,7.63322,0.01001,0.01002,0.01002,0.26245,0.13621,0.18890,0.11677,0.01566,8.25152,6.07193,5.73701,138.60749,53.56232,173.35068,24.96797,1,0.00600
0.36000,7.68328,0.01001,0.01002,0.01002,0.26357,0.13708,0.18711,0.11744,0.01560,8.27042,6.11465,5.77990,138.68788,53.68027,171.27496,25.02140,1,0.00610
0.37000,7.73451,0.01001,0.01002,0.01002,0.26466,0.13793,0.18525,0.11810,0.01553,8.28772,6.15732,5.82288,138.74162,53.78042,169.15609,25.07069,1,0.00630
0.38000,7.78682,0.01001,0.01002,0.01002,0.26571,0.13874,0.18334,0.11874,0.01546,8.30341,6.19992,5.86593,138.76861,53.86173,167.00011,25.11524,1,0.00650
0.39000,7.83963,0.01001,0.01002,0.01002,0.26671,0.13952,0.18137,0.11936,0.01538,8.31748,6.24243,5.90903,138.75765,53.92047,164.80310,25.15341,1,0.00670
0.40000,7.89200,0.01001,0.01002,0.01002,0.26762,0.14024,0.17933,0.11995,0.01529,8.32990,6.28481,5.95215,138.69355,53.95087,162.55520,25.18267,1,0.00680
0.41000,7.94304,0.01001,0.01002,0.01002,0.26842,0.14088,0.17720,0.12048,0.01519,8.34063,6.32700,5.99523,138.56166,53.94772,160.24839,25.20084,1,0.00700
0.42000,7.99221,0.01001,0.01002,0.01002,0.26909,0.14145,0.17498,0.12096,0.01508,8.34961,6.36893,6.03819,138.35674,53.90754,157.88190,25.20595,1,0.00720
0.43000,8.03950,0.01001,0.01002,0.01002,0.26963,0.14194,0.17270,0.12139,0.01497,8.35677,6.41052,6.08097,138.08026,53.83108,155.46547,25.19880,1,0.00730
0.44000,8.08543,0.01001,0.01002,0.01002,0.27006,0.14235,0.17035,0.12177,0.01485,8.36207,6.45169,6.12349,137.74310,53.72213,153.01774,25.18143,1,0.00750
0.45000,8.13079,0.01001,0.01002,0.01002,0.27040,0.14270,0.16798,0.12211,0.01472,8.36551,6.49241,6.16571,137.36040,53.58649,150.56200,25.15645,1,0.00770
0.46000,8.17631,0.01001,0.01002,0.01002,0.27069,0.14300,0.16561,0.12243,0.01459,8.36709,6.53264,6.20759,136.94729,53.42916,148.11856,25.12613,1,0.00780
