time,rep_index,elbow_moment_Nm,task_failure,a0_BIClong,afat_BIClong,MF_BIClong,cap_BIClong,a0_BICshort,afat_BICshort,MF_BICshort,cap_BICshort,a0_BRA,afat_BRA,MF_BRA,cap_BRA,a0_BRD_hand,afat_BRD_hand,MF_BRD_hand,cap_BRD_hand
-0.00000,1,1.74698,0,0.07236,0.10015,0.00091,1.00000,0.03145,0.04700,0.00043,1.00000,0.05995,0.03517,0.00032,1.00000,0.02966,0.03266,0.00030,1.00000
0.01000,1,1.76741,0,0.07304,0.10088,0.00183,0.99999,0.03176,0.04780,0.00086,1.00000,0.06053,0.03543,0.00064,1.00000,0.02994,0.03321,0.00060,1.00000
0.02000,1,1.78770,0,0.07374,0.10160,0.00276,0.99998,0.03208,0.04863,0.00131,0.99999,0.06113,0.03568,0.00097,0.99999,0.03022,0.03376,0.00091,0.99999
0.03000,1,1.80776,0,0.07444,0.10230,0.00369,0.99997,0.03241,0.04946,0.00176,0.99999,0.06173,0.03594,0.00130,0.99999,0.03050,0.03430,0.00122,0.99999
0.04000,1,1.82744,0,0.07515,0.10296,0.00463,0.99996,0.03275,0.05031,0.00222,0.99998,0.06234,0.03620,0.00163,0.99999,0.03078,0.03484,0.00154,0.99999
0.05000,1,1.84663,0,0.07585,0.10356,0.00558,0.99995,0.03310,0.05115,0.00268,0.99998,0.06293,0.03645,0.00196,0.99998,0.03107,0.03537,0.00186,0.99998
0.06000,1,1.86519,0,0.07645,0.10391,0.00652,0.99994,0.03352,0.05198,0.00316,0.99997,0.06343,0.03662,0.00229,0.99998,0.03160,0.03610,0.00219,0.99998
0.07000,1,1.88305,0,0.07681,0.10346,0.00747,0.99993,0.03423,0.05286,0.00364,0.99997,0.06350,0.03653,0.00263,0.99998,0.03291,0.03743,0.00253,0.99998
0.08000,1,1.90018,0,0.07772,0.10422,0.00842,0.99993,0.03451,0.05369,0.00413,0.99996,0.06440,0.03689,0.00296,0.99997,0.03265,0.03741,0.00287,0.99997
0.09000,1,1.91666,0,0.07844,0.10482,0.00937,0.99992,0.03472,0.05434,0.00463,0.99996,0.06499,0.03722,0.00330,0.99997,0.03269,0.03766,0.00322,0.99997
0.10000,1,1.93269,0,0.07909,0.10516,0.01033,0.99991,0.03504,0.05502,0.00513,0.99995,0.06548,0.03749,0.00364,0.99997,0.03289,0.03801,0.00356,0.99997
0.11000,1,1.94851,0,0.07974,0.10544,0.01129,0.99990,0.03536,0.05567,0.00564,0.99995,0.06595,0.03776,0.00399,0.99996,0.03307,0.03832,0.00391,0.99996
0.12000,1,1.96442,0,0.08039,0.10562,0.01226,0.99989,0.03571,0.05632,0.00615,0.99994,0.06638,0.03803,0.00434,0.99996,0.03329,0.03863,0.00427,0.99996
0.13000,1,1.98067,0,0.08106,0.10572,0.01322,0.99988,0.03609,0.05699,0.00667,0.99994,0.06680,0.03829,0.00468,0.99996,0.03355,0.03896,0.00462,0.99996
0.14000,1,1.99737,0,0.08143,0.10452,0.01417,0.99987,0.03708,0.05789,0.00720,0.99993,0.06681,0.03812,0.00503,0.99995,0.03489,0.04006,0.00499,0.99995
0.15000,1,2.01450,0,0.08226,0.10519,0.01513,0.99986,0.03714,0.05837,0.00773,0.99993,0.06734,0.03865,0.00538,0.99995,0.03461,0.03998,0.00535,0.99995
0.16000,1,2.03188,0,0.08300,0.10518,0.01609,0.99985,0.03752,0.05897,0.00827,0.99992,0.06774,0.03897,0.00574,0.99995,0.03484,0.04024,0.00572,0.99995
0.17000,1,2.04922,0,0.08371,0.10500,0.01705,0.99984,0.03796,0.05955,0.00881,0.99992,0.06805,0.03925,0.00610,0.99994,0.03517,0.04054,0.00609,0.99994
0.18000,1,2.06616,0,0.08441,0.10473,0.01801,0.99983,0.03840,0.06009,0.00936,0.99991,0.06831,0.03954,0.00646,0.99994,0.03549,0.04080,0.00646,0.99994
0.19000,1,2.08241,0,0.08508,0.10437,0.01896,0.99982,0.03882,0.06056,0.00991,0.99991,0.06852,0.03983,0.00682,0.99994,0.03579,0.04100,0.00683,0.99994
0.20000,1,2.09778,0,0.08567,0.10381,0.01990,0.99981,0.03928,0.06094,0.01047,0.99990,0.06859,0.04008,0.00719,0.99993,0.03620,0.04123,0.00721,0.99993
0.21000,1,2.11229,0,0.08627,0.10326,0.02085,0.99980,0.03969,0.06124,0.01102,0.99990,0.06865,0.04035,0.00756,0.99993,0.03649,0.04134,0.00759,0.99993
0.22000,1,2.12624,0,0.08684,0.10262,0.02178,0.99979,0.04008,0.06146,0.01158,0.99989,0.06864,0.04063,0.00793,0.99992,0.03677,0.04139,0.00796,0.99992
0.23000,1,2.14012,0,0.08739,0.10191,0.02271,0.99978,0.04047,0.06163,0.01215,0.99988,0.06857,0.04091,0.00830,0.99992,0.03705,0.04141,0.00834,0.99992
0.24000,1,2.15458,0,0.08795,0.10115,0.02363,0.99977,0.04087,0.06176,0.01271,0.99988,0.06847,0.04119,0.00867,0.99992,0.03733,0.04141,0.00872,0.99992
0.25000,1,2.17026,0,0.08853,0.10037,0.02455,0.99976,0.04128,0.06189,0.01327,0.99987,0.06834,0.04149,0.00905,0.99991,0.03762,0.04141,0.00910,0.99991
0.26000,1,2.18757,0,0.08916,0.09959,0.02546,0.99975,0.04172,0.06205,0.01384,0.99987,0.06821,0.04180,0.00943,0.99991,0.03794,0.04142,0.00947,0.99991
0.27000,1,2.20660,0,0.08983,0.09881,0.02636,0.99975,0.04217,0.06222,0.01441,0.99986,0.06807,0.04212,0.00982,0.99991,0.03827,0.04146,0.00985,0.99991
0.28000,1,2.22697,0,0.09053,0.09802,0.02725,0.99974,0.04264,0.06241,0.01498,0.99986,0.06792,0.04245,0.01020,0.99990,0.03862,0.04150,0.01023,0.99990
0.29000,1,2.24795,0,0.09123,0.09722,0.02814,0.99973,0.04312,0.06257,0.01555,0.99985,0.06774,0.04278,0.01059,0.99990,0.03897,0.04153,0.01061,0.99990
0.30000,1,2.26866,0,0.09191,0.09638,0.02902,0.99972,0.04358,0.06268,0.01612,0.99984,0.06750,0.04311,0.01099,0.99989,0.03932,0.04153,0.01099,0.99989
0.31000,1,2.28829,0,0.09252,0.09547,0.02989,0.99971,0.04402,0.06269,0.01669,0.99984,0.06719,0.04341,0.01138,0.99989,0.03964,0.04146,0.01137,0.99989
0.32000,1,2.30640,0,0.09307,0.09449,0.03075,0.99970,0.04443,0.06260,0.01726,0.99983,0.06680,0.04371,0.01178,0.99989,0.03993,0.04134,0.01174,0.99989
0.33000,1,2.32307,0,0.09354,0.09345,0.03160,0.99969,0.04480,0.06240,0.01783,0.99983,0.06632,0.04399,0.01218,0.99988,0.04019,0.04116,0.01212,0.99988
0.34000,1,2.33885,0,0.09396,0.09238,0.03244,0.99968,0.04513,0.06212,0.01840,0.99982,0.06578,0.04426,0.01259,0.99988,0.04044,0.04093,0.01249,0.99988
0.35000,1,2.35458,0,0.09434,0.09130,0.03327,0.99968,0.04545,0.06180,0.01896,0.99982,0.06519,0.04452,0.01299,0.99987,0.04066,0.04068,0.01286,0.99988
0.36000,1,2.37109,0,0.09473,0.09024,0.03410,0.99967,0.04576,0.06147,0.01952,0.99981,0.06459,0.04478,0.01340,0.99987,0.04089,0.04044,0.01323,0.99987
0.37000,1,2.38887,0,0.09512,0.08922,0.03491,0.99966,0.04608,0.06116,0.02008,0.99980,0.06397,0.04504,0.01381,0.99987,0.04113,0.04021,0.01360,0.99987
0.38000,1,2.40791,0,0.09553,0.08825,0.03571,0.99965,0.04639,0.06086,0.02063,0.99980,0.06336,0.04531,0.01422,0.99986,0.04137,0.04000,0.01396,0.99986
0.39000,1,2.42773,0,0.09594,0.08729,0.03651,0.99964,0.04671,0.06057,0.02118,0.99979,0.06273,0.04559,0.01464,0.99986,0.04161,0.03981,0.01432,0.99986
0.40000,1,2.44753,0,0.09633,0.08635,0.03730,0.99963,0.04700,0.06025,0.02173,0.99979,0.06208,0.04586,0.01506,0.99985,0.04183,0.03960,0.01469,0.99986
0.41000,1,2.46657,0,0.09666,0.08539,0.03808,0.99963,0.04726,0.05987,0.02228,0.99978,0.06139,0.04612,0.01548,0.99985,0.04204,0.03937,0.01504,0.99985
0.42000,1,2.48442,0,0.09692,0.08442,0.03884,0.99962,0.04749,0.05943,0.02282,0.99978,0.06066,0.04636,0.01590,0.99985,0.04222,0.03909,0.01540,0.99985
0.43000,1,2.50116,0,0.09712,0.08343,0.03961,0.99961,0.04767,0.05892,0.02336,0.99977,0.05989,0.04659,0.01633,0.99984,0.04238,0.03879,0.01575,0.99985
0.44000,1,2.51732,0,0.09727,0.08246,0.04036,0.99960,0.04783,0.05836,0.02389,0.99977,0.05909,0.04681,0.01675,0.99984,0.04251,0.03847,0.01611,0.99984
0.45000,1,2.53370,0,0.09740,0.08150,0.04110,0.99960,0.04797,0.05780,0.02442,0.99976,0.05828,0.04703,0.01718,0.99983,0.04264,0.03815,0.01645,0.99984
0.46000,1,2.55106,0,0.09754,0.08060,0.04183,0.99959,0.04811,0.05727,0.02494,0.99976,0.05749,0.04726,0.01761,0.99983,0.04276,0.03786,0.01680,0.99984
0.47000,1,2.56978,0,0.09766,0.07938,0.04256,0.99958,0.04845,0.05675,0.02546,0.99975,0.05681,0.04728,0.01804,0.99982,0.04338,0.03785,0.01714,0.99983
0.48000,1,2.58974,0,0.09793,0.07898,0.04328,0.99957,0.04839,0.05633,0.02597,0.99975,0.05602,0.04776,0.01848,0.99982,0.04294,0.03729,0.01748,0.99983
0.49000,1,2.61025,0,0.09810,0.07817,0.04399,0.99957,0.04854,0.05586,0.02648,0.99974,0.05529,0.04799,0.01892,0.99982,0.04314,0.03710,0.01782,0.99983
0.50000,1,2.63020,0,0.09821,0.07738,0.04470,0.99956,0.04867,0.05538,0.02698,0.99974,0.05456,0.04821,0.01936,0.99981,0.04335,0.03693,0.01816,0.99982
0.51000,1,2.64836,0,0.09832,0.07670,0.04540,0.99955,0.04872,0.05488,0.02748,0.99973,0.05380,0.04849,0.01980,0.99981,0.04329,0.03658,0.01849,0.99982
