time,rep_index,elbow_moment_Nm,task_failure,a0_BIClong,afat_BIClong,MF_BIClong,cap_BIClong,a0_BICshort,afat_BICshort,MF_BICshort,cap_BICshort,a0_BRA,afat_BRA,MF_BRA,cap_BRA,a0_BRD_hand,afat_BRD_hand,MF_BRD_hand,cap_BRD_hand
0.00000,1,4.92053,0,0.16979,0.26691,0.00243,1.00000,0.07975,0.20081,0.00183,1.00000,0.19033,0.05058,0.00046,1.00000,0.07226,0.14729,0.00134,1.00000
0.01000,1,4.95323,0,0.17084,0.26941,0.00489,0.99998,0.08018,0.20271,0.00368,0.99998,0.19193,0.05056,0.00092,1.00000,0.07264,0.14869,0.00270,0.99999
0.02000,1,4.97975,0,0.17169,0.27165,0.00737,0.99995,0.08058,0.20440,0.00554,0.99996,0.19332,0.05047,0.00138,0.99999,0.07303,0.14992,0.00407,0.99997
0.03000,1,4.99436,0,0.17219,0.27327,0.00986,0.99993,0.08081,0.20565,0.00742,0.99994,0.19432,0.05028,0.00184,0.99999,0.07323,0.15084,0.00544,0.99996
0.04000,1,4.99237,0,0.17216,0.27401,0.01236,0.99990,0.08081,0.20622,0.00930,0.99993,0.19472,0.04990,0.00230,0.99998,0.07322,0.15125,0.00682,0.99995
0.05000,1,4.97078,0,0.17149,0.27359,0.01485,0.99988,0.08051,0.20596,0.01118,0.99991,0.19439,0.04936,0.00275,0.99998,0.07296,0.15103,0.00820,0.99993
0.06000,1,4.92914,0,0.17016,0.27204,0.01734,0.99985,0.07991,0.20481,0.01305,0.99989,0.19329,0.04861,0.00319,0.99997,0.07242,0.15017,0.00957,0.99992
0.07000,1,4.87037,0,0.16825,0.26947,0.01979,0.99983,0.07901,0.20289,0.01490,0.99987,0.19152,0.04768,0.00362,0.99997,0.07159,0.14876,0.01093,0.99990
0.08000,1,4.80165,0,0.16597,0.26627,0.02222,0.99980,0.07795,0.20049,0.01672,0.99985,0.18928,0.04666,0.00405,0.99996,0.07068,0.14700,0.01227,0.99989
0.09000,1,4.73502,0,0.16372,0.26285,0.02462,0.99978,0.07686,0.19791,0.01853,0.99983,0.18707,0.04579,0.00447,0.99996,0.06973,0.14511,0.01359,0.99988
0.10000,1,4.68724,0,0.16205,0.26028,0.02699,0.99975,0.07600,0.19598,0.02032,0.99981,0.18551,0.04516,0.00488,0.99996,0.06900,0.14370,0.01490,0.99986
0.11000,1,4.67806,0,0.16161,0.25984,0.02936,0.99973,0.07569,0.19565,0.02210,0.99980,0.18536,0.04490,0.00529,0.99995,0.06878,0.14346,0.01621,0.99985
0.12000,1,4.72714,0,0.16306,0.26269,0.03176,0.99971,0.07625,0.19777,0.02390,0.99978,0.18739,0.04521,0.00570,0.99995,0.06934,0.14503,0.01753,0.99984
0.13000,1,4.85004,0,0.16693,0.26991,0.03422,0.99968,0.07796,0.20322,0.02576,0.99976,0.19223,0.04613,0.00612,0.99994,0.07095,0.14903,0.01889,0.99982
0.14000,1,5.05441,0,0.17356,0.28210,0.03679,0.99966,0.08092,0.21244,0.02769,0.99974,0.20032,0.04773,0.00656,0.99994,0.07361,0.15576,0.02031,0.99981
0.15000,1,5.33699,0,0.18287,0.29906,0.03952,0.99963,0.08527,0.22530,0.02975,0.99972,0.21156,0.05010,0.00701,0.99993,0.07751,0.16515,0.02182,0.99980
0.16000,1,5.68207,0,0.19455,0.32020,0.04244,0.99960,0.09075,0.24130,0.03195,0.99970,0.22566,0.05305,0.00750,0.99993,0.08206,0.17680,0.02343,0.99978
0.17000,1,6.06125,0,0.20764,0.34395,0.04557,0.99958,0.09731,0.25939,0.03431,0.99968,0.24137,0.05643,0.00801,0.99993,0.08773,0.18990,0.02516,0.99977
0.18000,1,6.43460,0,0.22065,0.36726,0.04892,0.99954,0.10390,0.27715,0.03684,0.99966,0.25678,0.05990,0.00856,0.99992,0.09340,0.20272,0.02701,0.99975
0.19000,1,6.75360,0,0.23199,0.38757,0.05246,0.99951,0.10978,0.29262,0.03951,0.99963,0.26988,0.06281,0.00913,0.99991,0.09839,0.21386,0.02896,0.99973
0.20000,1,6.96669,0,0.24013,0.40220,0.05612,0.99948,0.11434,0.30385,0.04228,0.99960,0.27886,0.06477,0.00972,0.99991,0.10210,0.22187,0.03098,0.99971
0.21000,1,7.02819,0,0.24345,0.40748,0.05984,0.99944,0.11676,0.30799,0.04509,0.99958,0.28178,0.06584,0.01032,0.99990,0.10382,0.22474,0.03303,0.99969
0.22000,1,6.90842,0,0.24080,0.39819,0.06347,0.99940,0.11639,0.30110,0.04784,0.99955,0.27732,0.06760,0.01094,0.99990,0.10303,0.21949,0.03503,0.99967
0.23000,1,6.60025,0,0.23175,0.37801,0.06692,0.99937,0.11290,0.28592,0.05044,0.99952,0.26513,0.06722,0.01155,0.99989,0.09949,0.20828,0.03693,0.99965
0.24000,1,6.11997,0,0.21666,0.34792,0.07009,0.99933,0.10634,0.26322,0.05284,0.99950,0.24588,0.06463,0.01214,0.99988,0.09333,0.19162,0.03868,0.99963
0.25000,1,5.50566,0,0.19668,0.31028,0.07292,0.99930,0.09721,0.23471,0.05498,0.99947,0.22122,0.06006,0.01269,0.99988,0.08501,0.17083,0.04024,0.99961
0.26000,1,4.81583,0,0.17371,0.26690,0.07535,0.99927,0.08648,0.20183,0.05682,0.99945,0.19355,0.05494,0.01319,0.99987,0.07562,0.14688,0.04157,0.99960
0.27000,1,4.12610,0,0.15046,0.22448,0.07740,0.99925,0.07534,0.16966,0.05837,0.99943,0.16612,0.04890,0.01363,0.99987,0.06577,0.12350,0.04270,0.99958
0.28000,1,3.52060,0,0.12983,0.18772,0.07911,0.99923,0.06531,0.14177,0.05966,0.99942,0.14213,0.04308,0.01403,0.99986,0.05693,0.10326,0.04364,0.99957
0.29000,1,3.07801,0,0.11454,0.16062,0.08057,0.99921,0.05776,0.12120,0.06077,0.99940,0.12442,0.03869,0.01438,0.99986,0.05027,0.08836,0.04445,0.99956
0.30000,1,2.85654,0,0.10658,0.15036,0.08195,0.99919,0.05368,0.11334,0.06180,0.99939,0.11489,0.03678,0.01472,0.99986,0.04673,0.07732,0.04515,0.99956
0.31000,1,2.88377,0,0.10685,0.15032,0.08332,0.99918,0.05351,0.11320,0.06283,0.99938,0.11423,0.03711,0.01505,0.99985,0.04676,0.07737,0.04586,0.99955
0.32000,1,3.15470,0,0.11514,0.15975,0.08477,0.99917,0.05717,0.12019,0.06393,0.99937,0.12205,0.03979,0.01542,0.99985,0.05038,0.08794,0.04666,0.99954
0.33000,1,3.63493,0,0.13037,0.18256,0.08644,0.99915,0.06404,0.13725,0.06518,0.99936,0.13717,0.04587,0.01583,0.99985,0.05681,0.10052,0.04758,0.99953
0.34000,1,4.26410,0,0.15074,0.21403,0.08839,0.99914,0.07309,0.16083,0.06664,0.99935,0.15777,0.05341,0.01632,0.99984,0.06479,0.11787,0.04865,0.99952
0.35000,1,4.96041,0,0.17321,0.24981,0.09066,0.99912,0.08340,0.18765,0.06836,0.99933,0.18060,0.06140,0.01688,0.99984,0.07444,0.13759,0.04990,0.99951
0.36000,1,5.62977,0,0.19528,0.28532,0.09327,0.99909,0.09364,0.21436,0.07031,0.99932,0.20331,0.06905,0.01751,0.99983,0.08361,0.15717,0.05134,0.99950
0.37000,1,6.18040,0,0.21377,0.31580,0.09614,0.99907,0.10249,0.23732,0.07247,0.99930,0.22248,0.07520,0.01820,0.99982,0.09144,0.17396,0.05292,0.99949
0.38000,1,6.53900,0,0.22617,0.33523,0.09920,0.99904,0.10866,0.25203,0.07477,0.99928,0.23531,0.07979,0.01892,0.99982,0.09677,0.18465,0.05461,0.99947
0.39000,1,6.66317,0,0.23101,0.34105,0.10231,0.99901,0.11143,0.25652,0.07711,0.99925,0.24020,0.08240,0.01968,0.99981,0.09900,0.18779,0.05632,0.99945
0.40000,1,6.54597,0,0.22787,0.33450,0.10536,0.99898,0.11048,0.25169,0.07940,0.99923,0.23663,0.08200,0.02042,0.99980,0.09787,0.18412,0.05800,0.99944
0.41000,1,6.21351,0,0.21745,0.31679,0.10825,0.99895,0.10602,0.23842,0.08158,0.99921,0.22530,0.07878,0.02114,0.99980,0.09364,0.17433,0.05959,0.99942
0.42000,1,5.71991,0,0.20142,0.29006,0.11089,0.99892,0.09874,0.21833,0.08357,0.99918,0.20806,0.07351,0.02181,0.99979,0.08698,0.15960,0.06104,0.99940
0.43000,1,5.14157,0,0.18227,0.25803,0.11324,0.99889,0.08981,0.19419,0.08534,0.99916,0.18761,0.06722,0.02242,0.99978,0.07897,0.14192,0.06234,0.99939
0.44000,1,4.56900,0,0.16306,0.22655,0.11531,0.99887,0.08070,0.17043,0.08689,0.99915,0.16721,0.06060,0.02298,0.99978,0.07087,0.12461,0.06347,0.99938
0.45000,1,4.09438,0,0.14692,0.20030,0.11714,0.99885,0.07293,0.15060,0.08826,0.99913,0.15009,0.05494,0.02348,0.99977,0.06406,0.11015,0.06448,0.99937
0.46000,1,3.79610,0,0.13655,0.18338,0.11881,0.99883,0.06782,0.13778,0.08952,0.99912,0.13895,0.05131,0.02395,0.99977,0.05962,0.10086,0.06539,0.99936
