time,elbow_moment_Nm,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,act_elbow_assist,frc_TRIlong,frc_TRIlat,frc_TRImed,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,rep_index,fatigue_level
0.00000,4.92053,0.01001,0.01003,0.01003,0.16979,0.07975,0.19033,0.07226,0.01349,7.42439,4.82070,4.50977,96.82409,34.21408,189.52790,16.67048,1,0.00000
0.01000,4.95323,0.01001,0.01003,0.01003,0.17084,0.08018,0.19193,0.07264,0.01359,7.42564,4.81936,4.50815,97.39512,34.39309,191.09035,16.75511,1,0.00000
0.02000,4.97975,0.01001,0.01003,0.01003,0.17169,0.08058,0.19332,0.07303,0.01369,7.42770,4.81902,4.50783,97.83773,34.55164,192.40441,16.83652,1,0.00000
0.03000,4.99436,0.01001,0.01003,0.01003,0.17219,0.08081,0.19432,0.07323,0.01377,7.43044,4.81894,4.50750,98.06361,34.63339,193.29949,16.87294,1,0.00000
0.04000,4.99237,0.01001,0.01003,0.01003,0.17216,0.08081,0.19472,0.07322,0.01380,7.43348,4.81926,4.50760,97.98267,34.61443,193.58399,16.85971,1,0.00000
0.05000,4.97078,0.01001,0.01003,0.01003,0.17149,0.08051,0.19439,0.07296,0.01378,7.43639,4.81969,4.50787,97.54268,34.47307,193.14619,16.78762,1,0.00000
0.06000,4.92914,0.01001,0.01003,0.01003,0.17016,0.07991,0.19329,0.07242,0.01370,7.43871,4.81986,4.50799,96.73787,34.20299,191.96834,16.65510,1,0.00000
0.07000,4.87037,0.01001,0.01003,0.01003,0.16825,0.07901,0.19152,0.07159,0.01358,7.44005,4.81909,4.50699,95.63012,33.81084,190.17549,16.46051,1,0.00000
0.08000,4.80165,0.01001,0.01003,0.01003,0.16597,0.07795,0.18928,0.07068,0.01342,7.43999,4.81772,4.50587,94.33603,33.36024,187.98805,16.25105,1,0.00000
0.09000,4.73502,0.01001,0.01003,0.01004,0.16372,0.07686,0.18707,0.06973,0.01325,7.43851,4.81525,4.50358,93.09275,32.90454,185.89551,16.03784,1,0.00000
0.10000,4.68724,0.01001,0.01003,0.01004,0.16205,0.07600,0.18551,0.06900,0.01312,7.43584,4.81140,4.49985,92.19912,32.55750,184.49806,15.88038,1,0.00000
0.11000,4.67806,0.01001,0.01003,0.01004,0.16161,0.07569,0.18536,0.06878,0.01310,7.43261,4.80707,4.49569,92.01386,32.44751,184.52323,15.84064,1,0.00000
0.12000,4.72714,0.01001,0.01003,0.01004,0.16306,0.07625,0.18739,0.06934,0.01322,7.42992,4.80290,4.49161,92.89251,32.70312,186.69753,15.97810,1,0.00000
0.13000,4.85004,0.01001,0.01003,0.01003,0.16693,0.07796,0.19223,0.07095,0.01356,7.42927,4.79973,4.48844,95.10583,33.44153,191.57423,16.35182,1,0.00000
0.14000,5.05441,0.01001,0.01003,0.01003,0.17356,0.08092,0.20032,0.07361,0.01413,7.43251,4.79913,4.48709,98.80909,34.69202,199.49643,16.95068,1,0.00000
0.15000,5.33699,0.01001,0.01002,0.01003,0.18287,0.08527,0.21156,0.07751,0.01495,7.44136,4.80286,4.48998,103.90168,36.49728,210.23855,17.81321,1,0.00000
0.16000,5.68207,0.01001,0.01002,0.01003,0.19455,0.09075,0.22566,0.08206,0.01596,7.45753,4.81366,4.49898,110.14862,38.71901,223.34933,18.79033,1,0.00000
0.17000,6.06125,0.01001,0.01002,0.01002,0.20764,0.09731,0.24137,0.08773,0.01718,7.48201,4.83079,4.51480,116.91758,41.32198,237.40532,19.97672,1,0.00000
0.18000,6.43460,0.01001,0.01002,0.01002,0.22065,0.10390,0.25678,0.09340,0.01838,7.53694,4.87183,4.55295,123.62637,43.92991,251.08187,21.15569,1,0.00000
0.19000,6.75360,0.01001,0.01002,0.01002,0.23199,0.10978,0.26988,0.09839,0.01943,7.61751,4.93329,4.61025,129.39733,46.23085,262.48107,22.18025,1,0.00000
0.20000,6.96669,0.01001,0.01002,0.01002,0.24013,0.11434,0.27886,0.10210,0.02021,7.70691,5.00279,4.67519,133.25331,47.93249,269.56617,22.89271,1,0.00000
0.21000,7.02819,0.01001,0.01002,0.01002,0.24345,0.11676,0.28178,0.10382,0.02056,7.79848,5.07556,4.74338,134.37291,48.71100,270.64374,23.14800,1,0.00000
0.22000,6.90842,0.01001,0.01002,0.01002,0.24080,0.11639,0.27732,0.10303,0.02039,7.88474,5.14621,4.80981,132.22244,48.32645,264.71386,22.84707,1,0.00000
0.23000,6.60025,0.01001,0.01002,0.01002,0.23175,0.11290,0.26513,0.09949,0.01962,7.95841,5.20939,4.86949,126.67242,46.67702,251.70879,21.95881,1,0.00000
0.24000,6.11997,0.01001,0.01002,0.01002,0.21666,0.10634,0.24588,0.09333,0.01830,8.01318,5.26032,4.91793,118.01333,43.82062,232.48371,20.52513,1,0.00000
0.25000,5.50566,0.01001,0.01002,0.01002,0.19668,0.09721,0.22122,0.08501,0.01653,8.04417,5.29508,4.95145,106.92663,39.97776,208.68499,18.65838,1,0.00000
0.26000,4.81583,0.01001,0.01002,0.01002,0.17371,0.08648,0.19355,0.07562,0.01452,8.04818,5.30991,4.96666,94.42827,35.54858,182.53070,16.59730,1,0.00000
0.27000,4.12610,0.01001,0.01003,0.01003,0.15046,0.07534,0.16612,0.06577,0.01246,8.02417,5.30553,4.96409,81.94521,31.01145,156.96335,14.46354,1,0.00000
0.28000,3.52060,0.01002,0.01003,0.01003,0.12983,0.06531,0.14213,0.05693,0.01064,7.97334,5.28024,4.94166,70.97271,26.96454,134.81755,12.57013,1,0.00000
0.29000,3.07801,0.01002,0.01004,0.01004,0.11454,0.05776,0.12442,0.05027,0.00929,7.89929,5.23533,4.90029,62.95006,23.95276,118.67053,11.16362,1,0.00000
0.30000,2.85654,0.01002,0.01004,0.01004,0.10658,0.05368,0.11489,0.04673,0.00850,7.80792,5.17595,4.84573,58.95116,22.38093,110.29759,10.44737,1,0.00000
0.31000,2.88377,0.01002,0.01004,0.01004,0.10685,0.05351,0.11423,0.04676,0.00842,7.70793,5.10621,4.78114,59.49808,22.43850,110.42195,10.52836,1,0.00000
0.32000,3.15470,0.01002,0.01004,0.01005,0.11514,0.05717,0.12205,0.05038,0.00896,7.61000,5.03751,4.71877,64.52029,24.10143,118.74542,11.41751,1,0.00000
0.33000,3.63493,0.01002,0.01004,0.01005,0.13037,0.06404,0.13717,0.05681,0.01002,7.52607,4.97629,4.66273,73.43927,27.12061,134.17209,12.94651,1,0.00000
0.34000,4.26410,0.01002,0.01003,0.01003,0.15074,0.07309,0.15777,0.06479,0.01143,7.46704,4.92776,4.61504,85.21244,31.04713,154.88328,14.81986,1,0.00000
0.35000,4.96041,0.01001,0.01003,0.01003,0.17321,0.08340,0.18060,0.07444,0.01310,7.44642,4.91128,4.60043,98.15971,35.50230,177.74997,17.06993,1,0.00000
0.36000,5.62977,0.01001,0.01002,0.01003,0.19528,0.09364,0.20331,0.08361,0.01474,7.44860,4.91170,4.60016,110.58111,39.83720,199.94813,19.15726,1,0.00000
0.37000,6.18040,0.01001,0.01002,0.01002,0.21377,0.10249,0.22248,0.09144,0.01617,7.47907,4.93462,4.62122,120.73273,43.50057,218.19503,20.89395,1,0.00000
0.38000,6.53900,0.01001,0.01002,0.01002,0.22617,0.10866,0.23531,0.09677,0.01717,7.53438,4.97770,4.66136,127.30366,45.98096,229.96322,22.03487,1,0.00000
0.39000,6.66317,0.01001,0.01002,0.01002,0.23101,0.11143,0.24020,0.09900,0.01761,7.59923,5.02915,4.70951,129.50715,46.98684,233.74021,22.44788,1,0.00000
0.40000,6.54597,0.01001,0.01002,0.01002,0.22787,0.11048,0.23663,0.09787,0.01742,7.66213,5.08045,4.75767,127.25274,46.42375,229.29575,22.10037,1,0.00000
0.41000,6.21351,0.01001,0.01002,0.01002,0.21745,0.10602,0.22530,0.09364,0.01666,7.71305,5.12383,4.79863,121.04883,44.41829,217.56804,21.07544,1,0.00000
0.42000,5.71991,0.01001,0.01002,0.01002,0.20142,0.09874,0.20806,0.08698,0.01543,7.74446,5.15346,4.82691,111.90975,41.29367,200.48382,19.53961,1,0.00000
