subj,time,RSh_x,RSh_y,RSh_z,REl_x,REl_y,REl_z,RWr_x,RWr_y,RWr_z,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand
s03,0.0,-0.06486102461071139,1.418549807400991,-0.11932094660704225,-0.1269638006870224,1.1403249640922237,-0.1543013089620052,-0.17645075987550313,0.8943145656489262,-0.0939941461291114,6.75648,0.23469,0.09692,0.20954,0.09916,137.27069,41.06934,205.74184,22.84646,0.00268,0.00194,0.00083,0.00143
s03,0.01,-0.0635460728762253,1.4197343350108795,-0.119339007735709,-0.12602584655154828,1.1410056217800912,-0.1527094923015343,-0.1759554330370297,0.8952704688293942,-0.09386535077336225,6.75374,0.2346,0.09685,0.20932,0.09912,137.22864,41.04023,205.53264,22.83826,0.00535,0.00388,0.00167,0.00285
s03,0.02,-0.06223112114173919,1.4209188626207683,-0.11935706886437576,-0.12508789241607415,1.141686279467959,-0.1511176756410634,-0.1754601061985563,0.8962263720098622,-0.09373655541761308,6.75062,0.23449,0.09677,0.20909,0.09907,137.17907,41.00835,205.31305,22.82885,0.00803,0.00581,0.0025,0.00427
s03,0.03,-0.061257114945003424,1.4217894563899585,-0.11938104572717047,-0.1244306085132676,1.1422020961360106,-0.1500056912505386,-0.17512054067055566,0.8969290420821856,-0.09358409711938717,6.7468,0.23436,0.09668,0.20883,0.09901,137.11588,40.97209,205.07567,22.81724,0.0107,0.00775,0.00333,0.0057
s03,0.04,-0.06028310874826766,1.4226600501591486,-0.11940502258996517,-0.12377332461046102,1.1427179128040625,-0.14889370686001374,-0.17478097514255503,0.897631712154509,-0.09343163882116125,6.74208,0.23419,0.09657,0.20855,0.09893,137.03558,40.93044,204.81657,22.80282,0.01336,0.00968,0.00416,0.00712
s03,0.05,-0.05975626487725562,1.4231138121169393,-0.11939448628468524,-0.12346587155697697,1.1430105501606551,-0.14839924994142523,-0.17462916223916258,0.8980004750072085,-0.09329356063867618,6.73643,0.23398,0.09645,0.20824,0.09884,136.93755,40.8831,204.53573,22.78544,0.01602,0.01161,0.005,0.00853
s03,0.06,-0.05922942100624358,1.4235675740747298,-0.11938394997940531,-0.12315841850349292,1.1433031875172477,-0.14790479302283674,-0.17447734933577017,0.898369237859908,-0.09315548245619112,6.72994,0.23374,0.09631,0.20791,0.09874,136.82381,40.83048,204.23678,22.76534,0.01868,0.01353,0.00583,0.00995
s03,0.07,-0.059059268723833665,1.4237387726484783,-0.11937145358108942,-0.12311783667744447,1.1434172966591962,-0.1478429583693612,-0.17444062783122563,0.8984783342920001,-0.09308340024493991,6.72279,0.23348,0.09617,0.20756,0.09863,136.69682,40.77461,203.92484,22.74389,0.02133,0.01545,0.00666,0.01136
s03,0.08,-0.05888911644142376,1.4239099712222265,-0.11935895718277353,-0.12307725485139602,1.1435314058011448,-0.14778112371588567,-0.17440390632668112,0.8985874307240922,-0.0930113180336887,6.71526,0.2332,0.09601,0.20721,0.0985,136.56492,40.71536,203.61032,22.72025,0.02398,0.01737,0.00749,0.01277
s03,0.09,-0.05895480559337758,1.4239890401937734,-0.1193830643398032,-0.1231994011948442,1.1435414922414844,-0.1478704080489333,-0.1743979895180262,0.8985673305704329,-0.09302913993871302,6.70764,0.23292,0.09586,0.20685,0.09837,136.4295,40.66384,203.29451,22.69541,0.02662,0.01928,0.00832,0.01418
s03,0.1,-0.05902049474533141,1.4240681091653205,-0.11940717149683287,-0.12332154753829239,1.1435515786818242,-0.14795969238198098,-0.1743920727093713,0.8985472304167735,-0.09304696184373736,6.70024,0.23264,0.09571,0.20651,0.09825,136.29985,40.61268,202.99374,22.67112,0.02926,0.02119,0.00914,0.01558
s03,0.11,-0.05921678130096608,1.4241432382921575,-0.11935478605978092,-0.12350652621735667,1.143517899059293,-0.14798234747322553,-0.17436759721047396,0.8985132205778334,-0.0931471598467914,6.69334,0.23238,0.09557,0.20619,0.09812,136.18165,40.56335,202.71681,22.64827,0.0319,0.0231,0.00997,0.01698
s03,0.12,-0.05941306785660075,1.4242183674189943,-0.11930240062272898,-0.12369150489642095,1.1434842194367616,-0.14800500256447005,-0.1743431217115766,0.8984792107388933,-0.09324735784984545,6.6872,0.23214,0.09543,0.2059,0.09801,136.08023,40.51696,202.47201,22.62744,0.03453,0.02501,0.0108,0.01839
s03,0.13,-0.05962518087231181,1.4242964602338777,-0.11904177497815813,-0.12384820669500501,1.1434456424193227,-0.14785222543333018,-0.1742856968771174,0.8984842866739466,-0.09338196661776005,6.68204,0.23193,0.09531,0.20565,0.09791,135.999,40.47521,202.26489,22.60984,0.03716,0.02691,0.01162,0.01978
s03,0.14,-0.05983729388802288,1.4243745530487613,-0.11878114933358727,-0.1240049084935891,1.1434070654018837,-0.1476994483021903,-0.1742282720426582,0.898489362609,-0.09351657538567464,6.67803,0.23177,0.0952,0.20545,0.09783,135.94144,40.43885,202.10108,22.59576,0.03978,0.02881,0.01245,0.02118
s03,0.15,-0.05997729704343309,1.4244496538034008,-0.11835270483038828,-0.12408144719134342,1.1433689640162377,-0.14737861447139725,-0.17415582679387998,0.8985225736739948,-0.09363252661419594,6.67529,0.23165,0.0951,0.20529,0.09777,135.90983,40.40868,201.98438,22.58562,0.0424,0.03071,0.01327,0.02258
s03,0.16,-0.0601173001988433,1.4245247545580404,-0.11792426032718928,-0.12415798588909775,1.1433308626305914,-0.14705778064060415,-0.17408338154510175,0.8985557847389897,-0.09374847784271725,6.6739,0.23157,0.09502,0.20519,0.09772,135.90277,40.38377,201.92298,22.58052,0.04503,0.03261,0.01409,0.02397
s03,0.17,-0.06016151041419051,1.4245794256689002,-0.11749666413769379,-0.12417459399966632,1.143264170343273,-0.1466904889456985,-0.1740421778994845,0.8985799143024964,-0.09383843093581169,6.67393,0.23152,0.09494,0.20513,0.0977,135.90856,40.35778,201.94298,22.58413,0.04765,0.03451,0.01492,0.02537
