number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,state
14,0.9221662531313358,2026-06-17 00:41:18.545889,2026-06-17 00:41:30.562131,0 days 00:00:12.016242,0.8926656883820832,0.120026522871067,16,306,43,0.6981341475017416,COMPLETE
11,0.9220698967740258,2026-06-17 00:40:28.772964,2026-06-17 00:40:46.059800,0 days 00:00:17.286836,0.9751942151551729,0.13230942543082413,6,412,38,0.7491195928207305,COMPLETE
12,0.9170080830252758,2026-06-17 00:40:46.060143,2026-06-17 00:41:02.338969,0 days 00:00:16.278826,0.8946516130980097,0.12579939503364038,5,426,40,0.7298546724191359,COMPLETE
1,0.9114611740627083,2026-06-17 00:37:39.414999,2026-06-17 00:38:03.225839,0 days 00:00:23.810840,0.8958625190413323,0.1839470198513624,29,431,64,0.7533766075303111,COMPLETE
16,0.9113145804780391,2026-06-17 00:41:37.467998,2026-06-17 00:41:50.146324,0 days 00:00:12.678326,0.9346550082001748,0.06005943846337837,16,311,45,0.6795226215957729,COMPLETE
8,0.9111627577056551,2026-06-17 00:39:50.926252,2026-06-17 00:40:03.550508,0 days 00:00:12.624256,0.9941869190296131,0.07434072053074224,9,394,35,0.7754406053849281,COMPLETE
15,0.9088692386933597,2026-06-17 00:41:30.562131,2026-06-17 00:41:37.467998,0 days 00:00:06.905867,0.8351726608345292,0.12853268421871722,17,305,26,0.6526875739501853,COMPLETE
13,0.9031889709839652,2026-06-17 00:41:02.338969,2026-06-17 00:41:18.545889,0 days 00:00:16.206920,0.8722160221798687,0.1202015436559424,5,417,39,0.6976864270117831,COMPLETE
4,0.9023202313660457,2026-06-17 00:38:51.687106,2026-06-17 00:39:05.519516,0 days 00:00:13.832410,0.7609241608750359,0.027821675640115763,24,335,50,0.9778675668198336,COMPLETE
7,0.8998946315652718,2026-06-17 00:39:39.885966,2026-06-17 00:39:50.926252,0 days 00:00:11.040286,0.6051912805369204,0.09285316486894248,10,509,18,0.8682551478472638,COMPLETE
9,0.8984547837285233,2026-06-17 00:40:03.551508,2026-06-17 00:40:12.181269,0 days 00:00:08.629761,0.7331553864281531,0.08997841136924528,16,362,24,0.7013166410159128,COMPLETE
5,0.8965862863590528,2026-06-17 00:39:05.519516,2026-06-17 00:39:19.417938,0 days 00:00:13.898422,0.5093949002181776,0.057171597546739464,33,379,58,0.8273735795474594,COMPLETE
2,0.8945536308905646,2026-06-17 00:38:03.225839,2026-06-17 00:38:30.154324,0 days 00:00:26.928485,0.5101091987201629,0.023554075015043426,43,470,66,0.6348517198806163,COMPLETE
3,0.8922054274050307,2026-06-17 00:38:30.154324,2026-06-17 00:38:51.687106,0 days 00:00:21.532782,0.7307396811264659,0.1903918430107966,40,534,63,0.9196634256866895,COMPLETE
0,0.8907153110501158,2026-06-17 00:37:17.186588,2026-06-17 00:37:39.414999,0 days 00:00:22.228411,0.7118273996694524,0.08012967323928792,34,465,55,0.8179532731987588,COMPLETE
17,0.8820944779179767,2026-06-17 00:41:50.146324,2026-06-17 00:41:59.202725,0 days 00:00:09.056401,0.8125068103425683,0.14115264427392032,21,353,29,0.7918292569362813,COMPLETE
6,0.8695736401861667,2026-06-17 00:39:19.417938,2026-06-17 00:39:39.885966,0 days 00:00:20.468028,0.679753950286893,0.17570255390423972,25,484,49,0.8727281196413934,COMPLETE
10,0.8693196089793032,2026-06-17 00:40:12.182266,2026-06-17 00:40:28.771964,0 days 00:00:16.589698,0.9761133475207971,0.039641742389313346,49,583,34,0.6080183372697778,COMPLETE
