subj,time,rep,q_sh,q_el,qd_sh,qd_el,qdd_sh,qdd_el,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand,humerus_mass,forearm_mass,humerus_len,forearm_len
s04,0.00000,1,17.80426,7.07979,2.68800,0.18570,-0.26000,1.33000,3.98342,0.13362,0.06335,0.19058,0.05590,73.49180,26.83439,186.12632,12.54619,0.00253,0.00195,0.00000,0.00142,1.89630,1.56666,0.29236,0.29996
s04,0.01000,1,17.83114,7.08164,2.68540,0.19900,-0.74500,1.98000,3.97929,0.13351,0.06326,0.19038,0.05585,73.43594,26.79643,185.93995,12.53517,0.00506,0.00390,0.00000,0.00284,1.89630,1.56666,0.29236,0.29996
s04,0.02000,1,17.85796,7.08377,2.67310,0.22530,-1.93750,2.58000,3.97491,0.13339,0.06317,0.19018,0.05580,73.37786,26.75621,185.74173,12.52344,0.00759,0.00585,0.00000,0.00426,1.89630,1.56666,0.29236,0.29996
s04,0.03000,1,17.88460,7.08615,2.64665,0.25060,-3.33500,2.45500,3.97010,0.13326,0.06307,0.18996,0.05574,73.31440,26.71268,185.52339,12.51048,0.01012,0.00779,0.00000,0.00568,1.89630,1.56666,0.29236,0.29996
s04,0.04000,1,17.91090,7.08878,2.60640,0.27440,-4.68750,2.28500,3.96477,0.13311,0.06296,0.18972,0.05568,73.24391,26.66539,185.28067,12.49602,0.01264,0.00973,0.00000,0.00709,1.89630,1.56666,0.29236,0.29996
s04,0.05000,1,17.93673,7.09164,2.55290,0.29630,-5.97750,2.06500,3.95892,0.13295,0.06285,0.18945,0.05561,73.16649,26.61444,185.01375,12.48007,0.01516,0.01167,0.00000,0.00850,1.89630,1.56666,0.29236,0.29996
s04,0.06000,1,17.96195,7.09471,2.48685,0.31570,-7.19250,1.78500,3.95265,0.13278,0.06273,0.18916,0.05553,73.08371,26.56052,184.72675,12.46291,0.01767,0.01360,0.00000,0.00991,1.89630,1.56666,0.29236,0.29996
s04,0.07000,1,17.98646,7.09795,2.40905,0.33200,-8.32750,1.45250,3.94613,0.13260,0.06260,0.18886,0.05545,72.99857,26.50435,184.42776,12.44427,0.02018,0.01553,0.00000,0.01132,1.89630,1.56666,0.29236,0.29996
s04,0.08000,1,18.01014,7.10135,2.32030,0.34475,-9.36500,1.07250,3.93957,0.13243,0.06248,0.18855,0.05537,72.91371,26.44814,184.12312,12.42657,0.02268,0.01746,0.00000,0.01272,1.89630,1.56666,0.29236,0.29996
s04,0.09000,1,18.03287,7.10485,2.22175,0.35345,-10.28750,0.63500,3.93318,0.13225,0.06235,0.18824,0.05529,72.83329,26.39252,183.82458,12.40884,0.02518,0.01938,0.00000,0.01412,1.89630,1.56666,0.29236,0.29996
s04,0.10000,1,18.05457,7.10841,2.11455,0.35745,-11.09250,0.14500,3.92717,0.13209,0.06224,0.18796,0.05522,72.76052,26.33903,183.54080,12.39210,0.02768,0.02130,0.00000,0.01552,1.89630,1.56666,0.29236,0.29996
s04,0.11000,1,18.07516,7.11200,1.99990,0.35635,-11.77500,-0.38500,3.92174,0.13195,0.06213,0.18769,0.05515,72.69835,26.28888,183.28006,12.37687,0.03017,0.02321,0.00000,0.01691,1.89630,1.56666,0.29236,0.29996
s04,0.12000,1,18.09457,7.11554,1.87905,0.34975,-12.32750,-0.96000,3.91703,0.13183,0.06203,0.18745,0.05509,72.64913,26.24305,183.04926,12.36359,0.03266,0.02512,0.00000,0.01831,1.89630,1.56666,0.29236,0.29996
s04,0.13000,1,18.11274,7.11899,1.75335,0.33715,-12.74500,-1.57500,3.91317,0.13174,0.06194,0.18725,0.05504,72.61453,26.20231,182.85370,12.35255,0.03515,0.02703,0.00000,0.01970,1.89630,1.56666,0.29236,0.29996
s04,0.14000,1,18.12964,7.12228,1.62415,0.31825,-13.03250,-2.22000,3.91022,0.13167,0.06187,0.18708,0.05500,72.59560,26.16716,182.69713,12.34395,0.03763,0.02894,0.00000,0.02109,1.89630,1.56666,0.29236,0.29996
s04,0.15000,1,18.14522,7.12536,1.49270,0.29275,-13.18000,-2.89250,3.90823,0.13163,0.06181,0.18696,0.05497,72.59279,26.13795,182.58185,12.33791,0.04011,0.03084,0.00000,0.02248,1.89630,1.56666,0.29236,0.29996
s04,0.16000,1,18.15949,7.12814,1.36055,0.26040,-13.19000,-3.57750,3.90721,0.13162,0.06176,0.18687,0.05496,72.60607,26.11481,182.50897,12.33447,0.04260,0.03274,0.00000,0.02387,1.89630,1.56666,0.29236,0.29996
s04,0.17000,1,18.17244,7.13056,1.22890,0.22120,-13.08000,-4.26750,3.90716,0.13164,0.06172,0.18683,0.05495,72.63502,26.09774,182.47866,12.33358,0.04508,0.03464,0.00000,0.02526,1.89630,1.56666,0.29236,0.29996
s04,0.18000,1,18.18407,7.13256,1.09895,0.17505,-12.83750,-4.95500,3.90805,0.13169,0.06170,0.18683,0.05495,72.67897,26.08665,182.49036,12.33518,0.04756,0.03655,0.00000,0.02664,1.89630,1.56666,0.29236,0.29996
s04,0.19000,1,18.19441,7.13407,0.97215,0.12210,-12.47500,-5.62500,3.90985,0.13176,0.06170,0.18687,0.05497,72.73706,26.08136,182.54307,12.33915,0.05004,0.03845,0.00000,0.02803,1.89630,1.56666,0.29236,0.29996
s04,0.20000,1,18.20351,7.13501,0.84945,0.06255,-12.01000,-6.27250,3.91251,0.13186,0.06170,0.18695,0.05499,72.80830,26.08165,182.63543,12.34537,0.05253,0.04035,0.00000,0.02942,1.89630,1.56666,0.29236,0.29996
s04,0.21000,1,18.21140,7.13532,0.73195,-0.00335,-11.43500,-6.88000,3.91599,0.13198,0.06172,0.18707,0.05503,72.89168,26.08727,182.76595,12.35370,0.05502,0.04225,0.00000,0.03081,1.89630,1.56666,0.29236,0.29996
s04,0.22000,1,18.21815,7.13494,0.62075,-0.07505,-10.77000,-7.43000,3.92023,0.13210,0.06173,0.18722,0.05507,72.97924,26.09369,182.94458,12.36414,0.05751,0.04416,0.00000,0.03220,1.89630,1.56666,0.29236,0.29996
s04,0.23000,1,18.22382,7.13382,0.51655,-0.15195,-10.02750,-7.92000,3.92518,0.13225,0.06176,0.18740,0.05511,73.07664,26.10474,183.15817,12.37640,0.06000,0.04606,0.00000,0.03360,1.89630,1.56666,0.29236,0.29996
s04,0.24000,1,18.22848,7.13190,0.42020,-0.23345,-9.21500,-8.33500,3.93080,0.13241,0.06180,0.18761,0.05517,73.18253,26.11995,183.40516,12.39032,0.06250,0.04797,0.00000,0.03499,1.89630,1.56666,0.29236,0.29996
s04,0.25000,1,18.23222,7.12915,0.33225,-0.31865,-8.35250,-8.66000,3.93701,0.13259,0.06184,0.18786,0.05522,73.29606,26.13879,183.68395,12.40536,0.06500,0.04989,0.00000,0.03639,1.89630,1.56666,0.29236,0.29996
s04,0.26000,1,18.23513,7.12553,0.25315,-0.40665,-7.44500,-8.88750,3.94376,0.13279,0.06189,0.18813,0.05529,73.41869,26.16106,183.98881,12.42199,0.06750,0.05180,0.00000,0.03779,1.89630,1.56666,0.29236,0.29996
s04,0.27000,1,18.23728,7.12101,0.18335,-0.49640,-6.50750,-9.00500,3.95099,0.13300,0.06194,0.18841,0.05536,73.56443,26.18485,184.30879,12.43904,0.07001,0.05372,0.00000,0.03919,1.89630,1.56666,0.29236,0.29996
s04,0.28000,1,18.23879,7.11560,0.12300,-0.58675,-5.55750,-9.00500,3.95863,0.13323,0.06200,0.18872,0.05543,73.71266,26.21197,184.65183,12.45784,0.07252,0.05564,0.00000,0.04059,1.89630,1.56666,0.29236,0.29996
s04,0.29000,1,18.23974,7.10928,0.07220,-0.67650,-4.60750,-8.88250,3.96660,0.13346,0.06207,0.18905,0.05551,73.86262,26.24125,185.01675,12.47675,0.07504,0.05757,0.00000,0.04200,1.89630,1.56666,0.29236,0.29996
s04,0.30000,1,18.24024,7.10207,0.03085,-0.76440,-3.67250,-8.64000,3.97482,0.13370,0.06214,0.18940,0.05559,74.01267,26.27265,185.39896,12.49629,0.07757,0.05949,0.00000,0.04341,1.89630,1.56666,0.29236,0.29996
s04,0.31000,1,18.24036,7.09399,-0.00125,-0.84930,-2.75750,-8.26750,3.98319,0.13394,0.06221,0.18976,0.05567,74.16137,26.30570,185.79458,12.51621,0.08010,0.06143,0.00000,0.04482,1.89630,1.56666,0.29236,0.29996
s04,0.32000,1,18.24021,7.08508,-0.02430,-0.92975,-1.88000,-7.76750,3.99164,0.13418,0.06229,0.19014,0.05575,74.30727,26.33989,186.19934,12.53628,0.08264,0.06337,0.00000,0.04624,1.89630,1.56666,0.29236,0.29996
s04,0.33000,1,18.23988,7.07540,-0.03885,-1.00465,-1.05500,-7.15500,4.00006,0.13441,0.06236,0.19052,0.05583,74.44885,26.37468,186.60871,12.55625,0.08518,0.06531,0.00000,0.04766,1.89630,1.56666,0.29236,0.29996
s04,0.34000,1,18.23944,7.06499,-0.04540,-1.07285,-0.27750,-6.43250,4.00834,0.13464,0.06244,0.19091,0.05591,74.58460,26.40950,187.01789,12.57584,0.08773,0.06726,0.00000,0.04909,1.89630,1.56666,0.29236,0.29996
s04,0.35000,1,18.23897,7.05394,-0.04440,-1.13330,0.43500,-5.61750,4.01639,0.13487,0.06252,0.19129,0.05599,74.71300,26.44378,187.42187,12.59479,0.09029,0.06921,0.00000,0.05051,1.89630,1.56666,0.29236,0.29996
s04,0.36000,1,18.23855,7.04232,-0.03670,-1.18520,1.06750,-4.72000,4.02410,0.13507,0.06259,0.19167,0.05607,74.83210,26.47752,187.81397,12.61395,0.09285,0.07116,0.00000,0.05194,1.89630,1.56666,0.29236,0.29996
s04,0.37000,1,18.23823,7.03024,-0.02305,-1.22770,1.63000,-3.76000,4.03136,0.13527,0.06266,0.19204,0.05615,74.94134,26.50890,188.19225,12.63079,0.09542,0.07312,0.00000,0.05338,1.89630,1.56666,0.29236,0.29996
s04,0.38000,1,18.23809,7.01777,-0.00410,-1.26040,2.11000,-2.76250,4.03807,0.13545,0.06272,0.19239,0.05621,75.03891,26.53794,188.55006,12.64618,0.09799,0.07509,0.00000,0.05481,1.89630,1.56666,0.29236,0.29996
