frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
0,7.08,-0.00086,1.50755,-0.07148,-0.07203,1.17655,-0.02742,-0.15308,0.95417,0.04202
1,7.08,-0.00086,1.50755,-0.07148,-0.07205,1.17661,-0.02715,-0.15311,0.95431,0.04252
2,7.09,-0.00086,1.50755,-0.07148,-0.07206,1.17666,-0.02689,-0.15314,0.95444,0.04302
3,7.09,-0.00086,1.50755,-0.07148,-0.07208,1.17672,-0.02663,-0.15316,0.95457,0.04351
4,7.10,-0.00086,1.50755,-0.07148,-0.07210,1.17677,-0.02639,-0.15319,0.95469,0.04397
5,7.11,-0.00086,1.50755,-0.07148,-0.07211,1.17682,-0.02616,-0.15321,0.95481,0.04440
6,7.12,-0.00086,1.50755,-0.07148,-0.07213,1.17686,-0.02596,-0.15323,0.95492,0.04479
7,7.12,-0.00086,1.50755,-0.07148,-0.07214,1.17690,-0.02578,-0.15325,0.95501,0.04513
8,7.13,-0.00086,1.50755,-0.07148,-0.07215,1.17693,-0.02563,-0.15327,0.95509,0.04543
9,7.13,-0.00086,1.50755,-0.07148,-0.07216,1.17696,-0.02551,-0.15328,0.95516,0.04567
10,7.14,-0.00086,1.50755,-0.07148,-0.07217,1.17698,-0.02541,-0.15329,0.95521,0.04585
11,7.13,-0.00086,1.50755,-0.07148,-0.07217,1.17700,-0.02534,-0.15330,0.95524,0.04598
12,7.13,-0.00086,1.50755,-0.07148,-0.07218,1.17701,-0.02529,-0.15331,0.95526,0.04607
13,7.13,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02525,-0.15331,0.95527,0.04610
14,7.12,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02523,-0.15332,0.95527,0.04609
15,7.10,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02523,-0.15332,0.95526,0.04605
16,7.09,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02523,-0.15332,0.95524,0.04598
17,7.06,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02523,-0.15333,0.95521,0.04589
18,7.04,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02523,-0.15333,0.95518,0.04579
19,7.02,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02524,-0.15334,0.95515,0.04569
20,6.99,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02524,-0.15334,0.95513,0.04558
21,6.97,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02523,-0.15335,0.95510,0.04549
22,6.94,-0.00086,1.50755,-0.07148,-0.07218,1.17702,-0.02521,-0.15336,0.95508,0.04541
23,6.92,-0.00086,1.50755,-0.07148,-0.07218,1.17703,-0.02519,-0.15337,0.95506,0.04535
24,6.89,-0.00086,1.50755,-0.07148,-0.07218,1.17703,-0.02517,-0.15337,0.95505,0.04530
25,6.87,-0.00086,1.50755,-0.07148,-0.07219,1.17704,-0.02514,-0.15338,0.95504,0.04528
26,6.86,-0.00086,1.50755,-0.07148,-0.07219,1.17705,-0.02510,-0.15339,0.95503,0.04526
27,6.84,-0.00086,1.50755,-0.07148,-0.07219,1.17706,-0.02507,-0.15340,0.95503,0.04526
