time,elbow_moment_Nm,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,act_elbow_assist,frc_TRIlong,frc_TRIlat,frc_TRImed,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,rep_index,fatigue_level
-0.00000,4.76614,0.01001,0.01002,0.01002,0.16955,0.05942,0.27814,0.07002,0.02156,7.29775,4.63128,4.30459,96.58133,24.57697,270.91402,15.59598,1,0.00000
0.01000,4.75515,0.01001,0.01002,0.01002,0.16918,0.05927,0.27756,0.06986,0.02152,7.29762,4.63106,4.30438,96.37028,24.51343,270.36257,15.56068,1,0.00000
0.02000,4.74471,0.01001,0.01002,0.01002,0.16880,0.05910,0.27699,0.06970,0.02147,7.29721,4.63057,4.30391,96.16462,24.44878,269.84765,15.52602,1,0.00000
0.03000,4.73524,0.01001,0.01002,0.01002,0.16845,0.05894,0.27647,0.06955,0.02142,7.29654,4.62982,4.30320,95.97200,24.38508,269.39520,15.49327,1,0.00000
0.04000,4.72707,0.01001,0.01002,0.01002,0.16812,0.05878,0.27601,0.06940,0.02138,7.29564,4.62882,4.30226,95.79778,24.32383,269.02276,15.46328,1,0.00000
0.05000,4.72031,0.01001,0.01002,0.01002,0.16782,0.05863,0.27562,0.06926,0.02134,7.29458,4.62762,4.30113,95.64452,24.26583,268.73887,15.43648,1,0.00000
0.06000,4.71497,0.01001,0.01002,0.01002,0.16756,0.05848,0.27531,0.06914,0.02131,7.29338,4.62624,4.29983,95.51226,24.21125,268.54394,15.41287,1,0.00000
0.07000,4.71093,0.01001,0.01002,0.01002,0.16733,0.05834,0.27508,0.06903,0.02128,7.29210,4.62472,4.29839,95.39913,24.15979,268.43223,15.39214,1,0.00000
0.08000,4.70802,0.01001,0.01002,0.01002,0.16712,0.05821,0.27491,0.06893,0.02126,7.29077,4.62310,4.29685,95.30205,24.11078,268.39410,15.37380,1,0.00000
0.09000,4.70601,0.01001,0.01002,0.01002,0.16694,0.05808,0.27481,0.06884,0.02124,7.28943,4.62139,4.29523,95.21745,24.06327,268.41827,15.35719,1,0.00000
0.10000,4.70470,0.01001,0.01002,0.01002,0.16677,0.05795,0.27477,0.06876,0.02122,7.28811,4.61964,4.29356,95.14167,24.01677,268.49293,15.34188,1,0.00000
0.11000,4.70390,0.01001,0.01002,0.01002,0.16662,0.05782,0.27476,0.06867,0.02121,7.28683,4.61785,4.29185,95.07162,23.97044,268.60788,15.32728,1,0.00000
0.12000,4.70346,0.01001,0.01002,0.01002,0.16647,0.05770,0.27479,0.06859,0.02120,7.28560,4.61605,4.29012,95.00481,23.92375,268.75466,15.31302,1,0.00000
0.13000,4.70328,0.01001,0.01002,0.01002,0.16632,0.05757,0.27485,0.06852,0.02120,7.28444,4.61424,4.28838,94.93950,23.87636,268.92688,15.29882,1,0.00000
0.14000,4.70328,0.01001,0.01002,0.01002,0.16618,0.05744,0.27494,0.06844,0.02119,7.28336,4.61245,4.28665,94.87465,23.82812,269.12014,15.28452,1,0.00000
0.15000,4.70343,0.01001,0.01002,0.01002,0.16604,0.05731,0.27506,0.06836,0.02119,7.28237,4.61067,4.28493,94.80981,23.77903,269.33165,15.27006,1,0.00000
0.16000,4.70371,0.01001,0.01002,0.01002,0.16590,0.05718,0.27520,0.06828,0.02119,7.28146,4.60892,4.28323,94.74494,23.72922,269.55977,15.25545,1,0.00000
0.17000,4.70412,0.01001,0.01002,0.01002,0.16577,0.05705,0.27536,0.06821,0.02119,7.28066,4.60721,4.28156,94.68028,23.67887,269.80348,15.24074,1,0.00000
0.18000,4.70466,0.01001,0.01002,0.01002,0.16563,0.05692,0.27554,0.06813,0.02120,7.27996,4.60555,4.27994,94.61615,23.62822,270.06195,15.22601,1,0.00000
0.19000,4.70533,0.01001,0.01002,0.01002,0.16551,0.05679,0.27575,0.06806,0.02120,7.27938,4.60395,4.27836,94.55285,23.57766,270.33403,15.21139,1,0.00000
0.20000,4.70612,0.01001,0.01002,0.01002,0.16538,0.05666,0.27598,0.06799,0.02121,7.27890,4.60241,4.27685,94.49068,23.52706,270.61867,15.19680,1,0.00000
0.21000,4.70702,0.01001,0.01002,0.01002,0.16526,0.05653,0.27623,0.06792,0.02123,7.27855,4.60096,4.27540,94.42970,23.47678,270.91374,15.18235,1,0.00000
0.22000,4.70800,0.01001,0.01002,0.01002,0.16515,0.05641,0.27650,0.06785,0.02124,7.27832,4.59958,4.27403,94.36984,23.42695,271.21678,15.16803,1,0.00000
