time,rep_index,elbow_moment_Nm,task_failure,a0_BIClong,afat_BIClong,MF_BIClong,cap_BIClong,a0_BICshort,afat_BICshort,MF_BICshort,cap_BICshort,a0_BRA,afat_BRA,MF_BRA,cap_BRA,a0_BRD_hand,afat_BRD_hand,MF_BRD_hand,cap_BRD_hand
-0.00000,1,6.45399,0,0.22068,0.29956,0.00273,1.00000,0.09226,0.21815,0.00199,1.00000,0.21409,0.08058,0.00073,1.00000,0.09252,0.16023,0.00146,1.00000
0.01000,1,6.44333,0,0.22032,0.29798,0.00545,0.99997,0.09214,0.21696,0.00397,0.99998,0.21302,0.08080,0.00147,0.99999,0.09239,0.15937,0.00291,0.99999
0.02000,1,6.43239,0,0.21995,0.29637,0.00815,0.99995,0.09199,0.21576,0.00594,0.99996,0.21195,0.08099,0.00221,0.99999,0.09222,0.15852,0.00436,0.99997
0.03000,1,6.42098,0,0.21955,0.29475,0.01084,0.99992,0.09183,0.21456,0.00789,0.99994,0.21084,0.08117,0.00295,0.99998,0.09206,0.15765,0.00580,0.99996
0.04000,1,6.40903,0,0.21911,0.29311,0.01351,0.99989,0.09166,0.21334,0.00984,0.99992,0.20972,0.08133,0.00369,0.99997,0.09191,0.15675,0.00723,0.99994
0.05000,1,6.39659,0,0.21865,0.29147,0.01617,0.99986,0.09147,0.21209,0.01177,0.99990,0.20859,0.08146,0.00444,0.99996,0.09172,0.15588,0.00865,0.99993
0.06000,1,6.38382,0,0.21818,0.28981,0.01881,0.99984,0.09125,0.21088,0.01370,0.99988,0.20746,0.08157,0.00518,0.99996,0.09153,0.15498,0.01006,0.99991
0.07000,1,6.37097,0,0.21770,0.28819,0.02144,0.99981,0.09102,0.20964,0.01561,0.99986,0.20634,0.08166,0.00592,0.99995,0.09130,0.15412,0.01147,0.99990
0.08000,1,6.35835,0,0.21724,0.28660,0.02406,0.99979,0.09076,0.20845,0.01751,0.99984,0.20526,0.08173,0.00667,0.99994,0.09103,0.15327,0.01287,0.99989
0.09000,1,6.34626,0,0.21676,0.28506,0.02666,0.99976,0.09052,0.20729,0.01940,0.99982,0.20418,0.08178,0.00741,0.99993,0.09082,0.15245,0.01426,0.99987
0.10000,1,6.33500,0,0.21630,0.28359,0.02924,0.99973,0.09028,0.20619,0.02128,0.99981,0.20315,0.08183,0.00816,0.99993,0.09062,0.15166,0.01564,0.99986
0.11000,1,6.32485,0,0.21584,0.28224,0.03182,0.99971,0.09009,0.20515,0.02315,0.99979,0.20214,0.08187,0.00891,0.99992,0.09051,0.15092,0.01702,0.99984
0.12000,1,6.31602,0,0.21544,0.28095,0.03438,0.99968,0.08986,0.20417,0.02501,0.99977,0.20122,0.08190,0.00965,0.99991,0.09033,0.15023,0.01839,0.99983
0.13000,1,6.30869,0,0.21513,0.27980,0.03693,0.99966,0.08962,0.20328,0.02686,0.99975,0.20041,0.08195,0.01040,0.99990,0.09009,0.14961,0.01975,0.99982
