,0
cum_path,0.1668
a_fused,0.1462
c2_a2d,0.1315
qd,0.1194
qdd,0.1186
cos_a,0.1095
time,0.1013
humerus_mass,0.0601
roll_mean_a,0.0482
c3_a2d,0.0477
sin_a,0.0349
c1_a2d,0.0329
c2_weo,0.0178
roll_std_a,0.0139
c1_seo,0.0133
forearm_mass,0.0116
c1_lwe,0.0113
c2_seo,0.0111
c3_lwe,0.0108
c0_cf,0.0099
c0_weo,0.0099
c0_lwe,0.0097
c1_weo,0.0088
c0_lse,0.0087
c0_seo,0.0082
c3_seo,0.008
c2_cf,0.006
c3_cf,0.006
c3_weo,0.006
c0_a2d,0.0058
c1_lse,0.0057
c2_lwe,0.0057
abs_qd,0.0056
c3_lse,0.0052
a_std,0.005
c2_lse,0.0045
c1_cf,0.0024
