,torque,activations,forces,fatigue,overall
q_el,0.1471,0.3798,0.4315,0.0019,0.2401
cos_qel,0.2681,0.1928,0.2038,0.0031,0.1669
qdd_el,0.2446,0.1649,0.1955,0.0035,0.1521
grav_load,0.2992,0.1381,0.1553,0.003,0.1489
cum_path_el,0.0042,0.007,0.006,0.4824,0.1249
qd_el,0.0078,0.3099,0.1444,0.0189,0.1203
cum_grav_imp,0.0062,0.0071,0.005,0.2069,0.0563
qdd_sh,0.0872,0.0576,0.0559,0.0019,0.0506
time,0.0125,0.0072,0.0076,0.1737,0.0503
sin_qel,0.0195,0.0467,0.0509,0.0039,0.0303
humerus_mass,0.011,0.0078,0.0096,0.081,0.0274
q_sh,0.0182,0.0303,0.0274,0.0077,0.0209
qel_x_fmass,0.0123,0.0199,0.0278,0.0103,0.0176
abs_qdd_el,0.0204,0.0241,0.0202,0.002,0.0167
cos_qsh,0.0131,0.0177,0.0257,0.0046,0.0153
qd_sh,0.0173,0.013,0.0175,0.0058,0.0134
abs_qd_el,0.0253,0.0125,0.0062,0.0028,0.0117
forearm_mass,0.0175,0.002,0.0057,0.0099,0.0088
qd_el2,0.0076,0.0105,0.0053,0.0018,0.0063
sin_qsh,0.0034,0.0061,0.0091,0.0014,0.005
humerus_len,0.0002,0.0018,0.0001,0.0024,0.0011
forearm_len,0.0001,0.0001,0.0008,0.0009,0.0005
