target,unit,R2,RMSE,MAE,Pearson,NRMSE_pct
elbow_moment,N.m,0.8267,1.2596,0.8289,0.9094,5.3832
act_BIClong,,0.9072,0.0282,0.0219,0.9525,6.3855
act_BICshort,,0.9424,0.0124,0.0092,0.971,5.2631
act_BRA,,0.9315,0.0278,0.0192,0.9657,5.7705
act_BRD_hand,,0.9064,0.0127,0.0095,0.9521,6.3893
frc_BIClong,N,0.9107,17.3737,13.0089,0.9546,6.7822
frc_BICshort,N,0.9344,4.9134,3.523,0.9668,5.0479
frc_BRA,N,0.9236,28.5355,18.6843,0.9632,6.0836
frc_BRD_hand,N,0.8952,2.7894,2.1055,0.9464,4.9483
MF_BIClong,%,0.9609,0.1694,0.1296,0.9808,4.7784
MF_BICshort,%,0.9382,0.1398,0.1057,0.9688,5.8297
MF_BRA,%,0.7161,0.2046,0.1183,0.8573,11.741
MF_BRD_hand,%,0.9547,0.0977,0.0747,0.9776,5.1467
