frame,J0_x,J0_y,J0_z,J1_x,J1_y,J1_z,J2_x,J2_y,J2_z,J3_x,J3_y,J3_z,J4_x,J4_y,J4_z,J5_x,J5_y,J5_z,J6_x,J6_y,J6_z,J7_x,J7_y,J7_z,J8_x,J8_y,J8_z,J9_x,J9_y,J9_z,J10_x,J10_y,J10_z,J11_x,J11_y,J11_z,J12_x,J12_y,J12_z,J13_x,J13_y,J13_z,J14_x,J14_y,J14_z,J15_x,J15_y,J15_z,J16_x,J16_y,J16_z,J17_x,J17_y,J17_z,J18_x,J18_y,J18_z,J19_x,J19_y,J19_z,J20_x,J20_y,J20_z,J21_x,J21_y,J21_z,J22_x,J22_y,J22_z,J23_x,J23_y,J23_z,J24_x,J24_y,J24_z
0,-0.009129,0.139664,1.036220,-0.020488,0.272493,1.022340,-0.103357,0.258011,0.539813,-0.147535,0.247482,0.060717,0.001923,0.006619,1.048130,-0.056093,-0.001870,0.561848,-0.127407,-0.016137,0.086131,-0.091869,0.145198,1.296000,-0.058470,0.150378,1.546400,-0.006562,0.149105,1.669100,-0.055252,0.147878,1.773280,-0.082078,0.291233,1.474090,-0.099844,0.361941,1.190960,-0.053143,0.409356,0.944247,-0.051308,0.003988,1.482020,-0.043581,-0.079561,1.201950,0.006683,-0.143220,0.959634,0.013235,0.273624,0.036754,0.086923,0.285901,0.030101,0.032779,-0.009326,0.048731,0.105444,-0.005989,0.030464,0.046378,0.413951,0.952875,-0.047818,0.457907,0.856986,0.105943,-0.142411,0.971750,0.022285,-0.200543,0.835630
1,-0.008967,0.139631,1.036200,-0.020328,0.272459,1.022320,-0.103254,0.257990,0.539805,-0.147540,0.247479,0.060718,0.002087,0.006586,1.048110,-0.055912,-0.001854,0.561826,-0.127447,-0.016187,0.086144,-0.091775,0.145174,1.295960,-0.058479,0.150406,1.546370,-0.006726,0.149095,1.669140,-0.055543,0.147828,1.773250,-0.082078,0.291233,1.474010,-0.099954,0.362109,1.190930,-0.052644,0.409301,0.944284,-0.051257,0.003993,1.482050,-0.043304,-0.079528,1.201980,0.007166,-0.143116,0.959688,0.013234,0.273610,0.036774,0.086921,0.285879,0.030087,0.032727,-0.009338,0.048704,0.105397,-0.005992,0.030458,0.046844,0.414202,0.953121,-0.047275,0.457758,0.856973,0.106436,-0.142418,0.971729,0.022609,-0.200499,0.835692
2,-0.008882,0.139579,1.036180,-0.020244,0.272409,1.022320,-0.103166,0.257960,0.539804,-0.147539,0.247464,0.060725,0.002174,0.006533,1.048080,-0.055772,-0.001831,0.561793,-0.127466,-0.016200,0.086136,-0.091672,0.145147,1.295950,-0.058506,0.150436,1.546380,-0.006851,0.149111,1.669190,-0.055798,0.147792,1.773240,-0.082094,0.291245,1.473980,-0.099747,0.362084,1.190870,-0.052207,0.409222,0.944265,-0.051207,0.004026,1.482060,-0.043045,-0.079517,1.202010,0.007711,-0.143104,0.959770,0.013230,0.273620,0.036765,0.086916,0.285900,0.030088,0.032711,-0.009349,0.048704,0.105384,-0.006004,0.030473,0.047294,0.413951,0.953045,-0.046805,0.457666,0.856949,0.106948,-0.142135,0.972059,0.023623,-0.200380,0.835784
3,-0.008726,0.139469,1.036180,-0.020052,0.272301,1.022300,-0.103108,0.257908,0.539805,-0.147543,0.247476,0.060730,0.002295,0.006421,1.048090,-0.055828,-0.001937,0.561815,-0.127451,-0.016164,0.086144,-0.091539,0.145134,1.295930,-0.058515,0.150433,1.546380,-0.007078,0.149117,1.669280,-0.056118,0.147792,1.773290,-0.082074,0.291234,1.473950,-0.099593,0.362066,1.190840,-0.051824,0.409124,0.944258,-0.051183,0.004019,1.482080,-0.042845,-0.079517,1.202020,0.008138,-0.143120,0.959840,0.013229,0.273612,0.036773,0.086915,0.285883,0.030086,0.032726,-0.009345,0.048706,0.105394,-0.006010,0.030451,0.047651,0.413880,0.953317,-0.046188,0.457554,0.856949,0.107372,-0.142209,0.972153,0.024052,-0.200314,0.835817
4,-0.008693,0.139412,1.036150,-0.019999,0.272248,1.022300,-0.103054,0.257878,0.539802,-0.147542,0.247469,0.060732,0.002307,0.006361,1.048040,-0.055555,-0.001881,0.561741,-0.127445,-0.016238,0.086114,-0.091372,0.145112,1.295950,-0.058608,0.150392,1.546440,-0.007210,0.149091,1.669350,-0.056358,0.147790,1.773310,-0.082052,0.291176,1.473940,-0.099349,0.361975,1.190800,-0.051520,0.409041,0.944236,-0.051289,0.003992,1.482100,-0.042595,-0.079494,1.202040,0.008601,-0.143070,0.959894,0.013230,0.273605,0.036778,0.086917,0.285877,0.030097,0.032729,-0.009357,0.048675,0.105404,-0.005999,0.030452,0.047929,0.413910,0.953525,-0.045740,0.457503,0.856955,0.107810,-0.141589,0.972362,0.025036,-0.200206,0.835911
5,-0.008613,0.139382,1.036120,-0.019875,0.272220,1.022250,-0.103007,0.257862,0.539768,-0.147550,0.247466,0.060703,0.002343,0.006329,1.048030,-0.055545,-0.001908,0.561731,-0.127454,-0.016253,0.086106,-0.091240,0.145055,1.295940,-0.058670,0.150350,1.546450,-0.007443,0.149061,1.669430,-0.056689,0.147805,1.773350,-0.082023,0.291103,1.473860,-0.099236,0.362015,1.190750,-0.050935,0.409029,0.944263,-0.051362,0.003936,1.482140,-0.042416,-0.079487,1.202070,0.009101,-0.142985,0.959973,0.013226,0.273594,0.036763,0.086914,0.285862,0.030079,0.032725,-0.009368,0.048690,0.105401,-0.006008,0.030472,0.048502,0.414066,0.953586,-0.045193,0.457370,0.856912,0.108319,-0.141611,0.972375,0.025389,-0.200194,0.836005
6,-0.008517,0.139317,1.036100,-0.019744,0.272157,1.022220,-0.102952,0.257834,0.539751,-0.147545,0.247464,0.060689,0.002404,0.006261,1.048010,-0.055535,-0.001938,0.561717,-0.127468,-0.016236,0.086094,-0.091102,0.144982,1.295930,-0.058698,0.150320,1.546460,-0.007586,0.149055,1.669490,-0.056957,0.147837,1.773350,-0.082023,0.291075,1.473860,-0.098922,0.361891,1.190710,-0.050574,0.408913,0.944235,-0.051413,0.003898,1.482170,-0.042214,-0.079495,1.202100,0.009542,-0.142954,0.960039,0.013230,0.273606,0.036755,0.086917,0.285878,0.030079,0.032712,-0.009358,0.048682,0.105389,-0.006000,0.030468,0.048872,0.413855,0.953518,-0.044834,0.457372,0.856949,0.108744,-0.141957,0.972604,0.025814,-0.200267,0.836117
7,-0.008463,0.139272,1.036100,-0.019688,0.272112,1.022220,-0.102884,0.257814,0.539751,-0.147551,0.247466,0.060696,0.002455,0.006215,1.048000,-0.055538,-0.001970,0.561712,-0.127473,-0.016229,0.086088,-0.091051,0.144934,1.295920,-0.058749,0.150274,1.546470,-0.007822,0.148946,1.669580,-0.057276,0.147851,1.773390,-0.081990,0.291035,1.473860,-0.098695,0.361840,1.190690,-0.050285,0.408856,0.944224,-0.051457,0.003855,1.482170,-0.042005,-0.079539,1.202110,0.009991,-0.142991,0.960098,0.013223,0.273613,0.036763,0.086911,0.285891,0.030109,0.032711,-0.009361,0.048691,0.105386,-0.006005,0.030467,0.049158,0.413677,0.953591,-0.044419,0.457372,0.856979,0.109184,-0.142013,0.972736,0.026341,-0.200320,0.836194
8,-0.008428,0.139227,1.036090,-0.019638,0.272069,1.022220,-0.102828,0.257803,0.539748,-0.147554,0.247471,0.060698,0.002476,0.006169,1.048000,-0.055490,-0.001983,0.561709,-0.127477,-0.016243,0.086093,-0.091042,0.144872,1.295910,-0.058761,0.150246,1.546460,-0.007943,0.148903,1.669610,-0.057484,0.147856,1.773390,-0.081948,0.290995,1.473810,-0.098468,0.361851,1.190640,-0.049857,0.408836,0.944213,-0.051517,0.003825,1.482160,-0.041844,-0.079604,1.202120,0.010425,-0.143029,0.960163,0.013217,0.273607,0.036736,0.086908,0.285880,0.030105,0.032707,-0.009359,0.048697,0.105380,-0.005995,0.030466,0.049577,0.413706,0.953663,-0.043937,0.457302,0.856944,0.109601,-0.141783,0.972915,0.027076,-0.200281,0.836263
9,-0.008446,0.139220,1.036110,-0.019685,0.272061,1.022250,-0.102752,0.257800,0.539754,-0.147557,0.247455,0.060712,0.002489,0.006163,1.048000,-0.055444,-0.001977,0.561699,-0.127424,-0.016233,0.086082,-0.091063,0.144832,1.295920,-0.058758,0.150233,1.546470,-0.008048,0.148916,1.669670,-0.057638,0.147892,1.773420,-0.081904,0.290978,1.473800,-0.098316,0.361870,1.190630,-0.049664,0.408836,0.944207,-0.051521,0.003819,1.482150,-0.041673,-0.079664,1.202130,0.010752,-0.143144,0.960223,0.013204,0.273612,0.036708,0.086897,0.285896,0.030110,0.032764,-0.009363,0.048704,0.105432,-0.005999,0.030452,0.049775,0.413622,0.953642,-0.043719,0.457323,0.856951,0.109927,-0.141898,0.972981,0.027415,-0.200320,0.836289
